CITY,COUNTRY,AVERAGE RANK,OVERALL RANK,HIGHEST MONTHLY TEMP,HIGHEST MONTHLY TEMP RANK,DAILY HOURS OF SUNSHINE,DAILY HOURS OF SUNSHINE RANK,DAILY HOURS OF DAYLIGHT,DAILY HOURS OF DAYLIGHT RANK,AVERAGE MONTHLY UV,UV RANK,NUMBER OF DAYS WITH SOME RAIN,NUMBER OF DAYS WITH SOME RAIN,MONTHLY RAINFALL,MONTHLY RAINFALL RANK,AIR POLLUTION,AIR POLLUTION RANK,CLEAR SKIES,CLEAR SKIES RANK
Queenstown,New Zealand,15.00,12.00,16.00,17.00,7.00,4.00,15.00,1.00,8.00,4.00,11.00,11.00,87.00,50.00,10.00,3.00,48.00%,30.00
Rio de Janeiro,Brazil,30.00,119.00,27.00,7.00,5.00,6.00,13.00,3.00,11.00,1.00,19.00,19.00,159.00,86.00,53.11,82.00,41.00%,36.00
Rome,Italy,28.50,109.00,17.00,16.00,4.00,7.00,10.00,6.00,2.00,10.00,15.00,15.00,117.00,72.00,49.81,77.00,53.00%,25.00
Rotterdam,Netherlands,24.25,84.00,10.00,23.00,2.00,9.00,9.00,7.00,1.00,11.00,18.00,18.00,83.00,46.00,25.76,38.00,35.00%,42.00
Salzburg,Austria,21.00,47.00,7.00,26.00,3.00,8.00,9.00,7.00,1.00,11.00,14.00,14.00,84.00,47.00,18.06,15.00,37.00%,40.00
San Francisco,USA,23.13,70.00,17.00,16.00,6.00,5.00,10.00,6.00,3.00,9.00,8.00,8.00,90.00,53.00,40.97,66.00,56.00%,22.00
San Juan,Puerto Rico,26.75,97.00,29.00,5.00,7.00,4.00,11.00,5.00,9.00,3.00,19.00,19.00,178.00,91.00,36.76,63.00,54.00%,24.00
Santorini,Greece,20.38,39.00,19.00,14.00,5.00,6.00,10.00,6.00,3.00,9.00,8.00,8.00,69.00,36.00,44.88,69.00,63.00%,15.00
Sarajevo,Bosnia and Herzegovina,33.50,130.00,8.00,25.00,3.00,8.00,10.00,6.00,2.00,10.00,14.00,14.00,97.00,57.00,73.83,113.00,42.00%,35.00
Seattle,USA,30.63,124.00,11.00,22.00,2.00,9.00,9.00,7.00,1.00,11.00,17.00,17.00,149.00,84.00,31.53,49.00,31.00%,46.00
Seoul,South Korea,21.00,46.00,11.00,22.00,5.00,6.00,10.00,6.00,3.00,9.00,10.00,10.00,48.00,17.00,56.78,87.00,67.00%,11.00
Seville,Spain,23.25,73.00,20.00,13.00,5.00,6.00,10.00,6.00,3.00,9.00,12.00,12.00,89.00,52.00,41.41,67.00,57.00%,21.00
Shanghai,China,22.50,64.00,17.00,16.00,5.00,6.00,11.00,5.00,4.00,8.00,11.00,11.00,52.00,21.00,66.83,104.00,69.00%,9.00
Siem Reap,Cambodia,22.00,60.00,31.00,3.00,8.00,3.00,12.00,4.00,10.00,2.00,6.00,6.00,61.00,30.00,57.50,88.00,37.00%,40.00
Singapore,Malaysia,30.38,122.00,30.00,4.00,5.00,6.00,12.00,4.00,11.00,1.00,20.00,20.00,246.00,100.00,33.31,51.00,10.00%,57.00
Sofia,Bulgaria,27.38,103.00,10.00,23.00,3.00,8.00,10.00,6.00,2.00,10.00,7.00,7.00,54.00,23.00,76.59,115.00,51.00%,27.00
Sorrento,Italy,33.00,128.00,16.00,17.00,4.00,7.00,10.00,6.00,2.00,10.00,15.00,15.00,120.00,74.00,71.64,111.00,54.00%,24.00
Split,Croatia,23.00,69.00,14.00,19.00,4.00,7.00,10.00,6.00,2.00,10.00,14.00,14.00,134.00,79.00,20.37,20.00,49.00%,29.00
St Barts,Saint Barthélemy,23.13,71.00,30.00,4.00,8.00,3.00,11.00,5.00,8.00,4.00,21.00,21.00,126.00,75.00,32.14,50.00,55.00%,23.00
St Lucia,Saint Lucia,27.75,106.00,29.00,5.00,8.00,3.00,11.00,5.00,9.00,3.00,19.00,19.00,255.00,101.00,32.14,50.00,41.00%,36.00
Stockholm,Sweden,19.25,33.00,5.00,28.00,1.00,10.00,8.00,8.00,0.00,12.00,17.00,17.00,50.00,19.00,15.10,9.00,26.00%,51.00
Sunshine Coast,Australia,17.13,24.00,27.00,7.00,9.00,2.00,14.00,2.00,11.00,1.00,11.00,11.00,147.00,83.00,22.12,23.00,70.00%,8.00
Sydney,Australia,17.50,26.00,24.00,10.00,8.00,3.00,14.00,2.00,10.00,2.00,12.00,12.00,102.00,62.00,24.53,34.00,63.00%,15.00
Taipei,Taiwan,24.75,88.00,23.00,11.00,4.00,7.00,11.00,5.00,7.00,5.00,17.00,17.00,98.00,58.00,47.57,75.00,58.00%,20.00
Tallinn,Estonia,21.63,53.00,3.00,29.00,1.00,10.00,7.00,9.00,0.00,12.00,20.00,20.00,74.00,40.00,14.54,7.00,31.00%,46.00
Tokyo,Japan,21.63,52.00,17.00,16.00,5.00,6.00,10.00,6.00,3.00,9.00,12.00,12.00,84.00,47.00,38.47,65.00,66.00%,12.00
Toronto,Canada,23.13,72.00,7.00,26.00,3.00,8.00,10.00,6.00,2.00,10.00,12.00,12.00,72.00,38.00,33.74,54.00,47.00%,31.00
Tromsø,Norway,25.00,89.00,1.00,30.00,0.00,11.00,4.00,10.00,0.00,12.00,23.00,22.00,95.00,56.00,14.06,6.00,23.00%,53.00
Tulum,Mexico,16.38,19.00,30.00,4.00,6.00,5.00,11.00,5.00,8.00,4.00,8.00,8.00,103.00,63.00,21.43,22.00,58.00%,20.00
Turin,Italy,30.13,121.00,11.00,22.00,4.00,7.00,10.00,6.00,2.00,10.00,11.00,11.00,73.00,39.00,79.57,118.00,50.00%,28.00
Ubud,Indonesia,33.00,129.00,31.00,3.00,9.00,2.00,13.00,3.00,11.00,1.00,8.00,8.00,187.00,94.00,63.54,99.00,18.00%,54.00
Valletta ,Malta,25.50,90.00,20.00,13.00,6.00,5.00,10.00,6.00,3.00,9.00,10.00,10.00,70.00,37.00,68.06,108.00,62.00%,16.00
Vancouver,Canada,29.00,114.00,9.00,24.00,2.00,9.00,9.00,7.00,1.00,11.00,19.00,19.00,207.00,96.00,19.82,18.00,29.00%,48.00
Venice,Italy,28.88,111.00,12.00,21.00,3.00,8.00,10.00,6.00,2.00,10.00,11.00,11.00,90.00,53.00,60.19,92.00,48.00%,30.00
Victoria,Seychelles,26.75,99.00,29.00,5.00,7.00,4.00,12.00,4.00,11.00,1.00,17.00,17.00,223.00,98.00,33.33,52.00,45.00%,33.00
Vienna,Austria,16.00,16.00,8.00,25.00,2.00,9.00,9.00,7.00,1.00,11.00,13.00,13.00,46.00,16.00,15.50,10.00,40.00%,37.00
Villefranche-sur-Mer,France,26.75,98.00,14.00,19.00,5.00,6.00,10.00,6.00,2.00,10.00,10.00,10.00,101.00,61.00,50.00,78.00,54.00%,24.00
Warsaw,Poland,29.75,118.00,6.00,27.00,2.00,9.00,9.00,7.00,1.00,11.00,15.00,15.00,39.00,12.00,69.80,110.00,30.00%,47.00
Wellington,New Zealand,14.88,11.00,17.00,16.00,7.00,4.00,14.00,2.00,8.00,4.00,12.00,12.00,95.00,56.00,13.92,5.00,58.00%,20.00
Zagreb,Croatia,28.75,110.00,9.00,24.00,2.00,9.00,9.00,7.00,1.00,11.00,13.00,13.00,114.00,70.00,34.43,57.00,38.00%,39.00
Zanzibar,Tanzania,18.50,29.00,31.00,3.00,8.00,3.00,12.00,4.00,11.00,1.00,13.00,13.00,216.00,97.00,8.33,1.00,52.00%,26.00
Zurich,Switzerland,21.75,55.00,7.00,26.00,2.00,9.00,9.00,7.00,1.00,11.00,15.00,15.00,76.00,42.00,22.45,26.00,39.00%,38.00
