CITY,COUNTRY,AVERAGE RANK,OVERALL RANK,AVERAGE HIGHEST TEMP,AVERAGE HIGHEST TEMP RANK,AVG. DAILY HOURS OF SUNSHINE,AVG. DAILY HOURS OF SUNSHINE RANK,AVG. DAILY HOURS OF DAYLIGHT,AVG. DAILY HOURS OF DAYLIGHT RANK,AVERAGE UV ACROSS YEAR,AVERAGE UV ACROSS YEAR RANK,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR RANK,AVG. MONTHLY RAINFALL ACROSS YEAR,AVG. MONTHLY RAINFALL ACROSS YEAR RANK,AIR POLLUTION SCORE,AIR POLLUTION SCORE RANK,% OF CLEAR SKIES ACROSS THE YEAR,% OF CLEAR SKIES ACROSS THE YEAR RANK
Santorini,Greece,11.63,11.00,28.00,9.00,13.00,2.00,14.00,6.00,10.00,2.00,1.00,2.00,1.00,2.00,44.88,69.00,100.00%,1.00
Seville,Spain,11.75,12.00,35.00,3.00,12.00,3.00,14.00,6.00,9.00,3.00,2.00,3.00,1.00,2.00,41.41,67.00,92.00%,7.00
Ibiza ,Spain,11.75,13.00,29.00,8.00,11.00,4.00,15.00,5.00,9.00,3.00,3.00,4.00,7.00,6.00,34.09,55.00,89.00%,9.00
Biarritz,France,11.75,14.00,24.00,13.00,8.00,7.00,15.00,5.00,8.00,4.00,12.00,13.00,62.00,26.00,15.00,8.00,75.00%,18.00
Lisbon,Portugal,12.50,15.00,28.00,9.00,10.00,5.00,15.00,5.00,8.00,4.00,2.00,3.00,4.00,4.00,36.00,62.00,90.00%,8.00
Vancouver,Canada,12.63,16.00,22.00,15.00,9.00,6.00,16.00,4.00,7.00,5.00,7.00,8.00,48.00,19.00,19.82,18.00,66.00%,26.00
Las Vegas ,USA,13.38,17.00,41.00,1.00,13.00,2.00,14.00,6.00,11.00,1.00,2.00,3.00,9.00,7.00,47.36,74.00,83.00%,13.00
San Francisco,USA,13.63,18.00,20.00,17.00,10.00,5.00,14.00,6.00,9.00,3.00,1.00,2.00,1.00,2.00,40.97,66.00,90.00%,8.00
Vienna,Austria,13.63,19.00,26.00,11.00,8.00,7.00,16.00,4.00,7.00,5.00,13.00,14.00,68.00,30.00,15.50,10.00,64.00%,28.00
Cairns,Australia,13.88,20.00,25.00,12.00,7.00,8.00,11.00,9.00,7.00,5.00,6.00,7.00,44.00,17.00,20.27,19.00,58.00%,34.00
Athens,Greece,14.00,21.00,32.00,5.00,12.00,3.00,14.00,6.00,10.00,2.00,1.00,2.00,6.00,5.00,54.33,85.00,96.00%,4.00
Mykonos,Greece,14.13,22.00,27.00,10.00,14.00,1.00,14.00,6.00,10.00,2.00,2.00,3.00,4.00,4.00,54.33,85.00,99.00%,2.00
Helsinki,Finland,14.13,23.00,21.00,16.00,8.00,7.00,18.00,2.00,5.00,7.00,14.00,15.00,67.00,29.00,9.73,2.00,57.00%,35.00
Madrid,Spain,14.25,24.00,32.00,5.00,11.00,4.00,15.00,5.00,9.00,3.00,5.00,6.00,11.00,8.00,46.16,72.00,86.00%,11.00
Seattle,USA,14.50,25.00,24.00,13.00,10.00,5.00,16.00,4.00,7.00,5.00,5.00,6.00,20.00,12.00,31.53,49.00,70.00%,22.00
Stockholm,Sweden,14.63,26.00,22.00,15.00,8.00,7.00,18.00,2.00,5.00,7.00,13.00,14.00,64.00,27.00,15.10,9.00,56.00%,36.00
Antigua,Antigua and Barbuda,14.63,27.00,31.00,6.00,8.00,7.00,13.00,7.00,11.00,1.00,16.00,17.00,79.00,38.00,8.33,1.00,50.00%,40.00
Anguilla,Anguilla,14.75,28.00,31.00,6.00,8.00,7.00,13.00,7.00,11.00,1.00,17.00,18.00,76.00,36.00,8.33,1.00,48.00%,42.00
Gold Coast,Australia,15.13,29.00,20.00,17.00,7.00,8.00,11.00,9.00,4.00,8.00,8.00,9.00,89.00,43.00,16.67,13.00,82.00%,14.00
Petra,Jordan,15.25,30.00,33.00,4.00,13.00,2.00,14.00,6.00,11.00,1.00,0.00,1.00,0.00,1.00,67.22,106.00,100.00%,1.00
Rome,Italy,15.38,31.00,30.00,7.00,11.00,4.00,15.00,5.00,9.00,3.00,5.00,6.00,19.00,11.00,49.81,77.00,87.00%,10.00
Bilbao,Spain,15.38,32.00,25.00,12.00,7.00,8.00,15.00,5.00,8.00,4.00,11.00,12.00,51.00,22.00,26.85,42.00,75.00%,18.00
Tallinn,Estonia,15.50,33.00,21.00,16.00,9.00,6.00,18.00,2.00,5.00,7.00,15.00,16.00,76.00,36.00,14.54,7.00,58.00%,34.00
Ankara,Turkey,15.75,34.00,29.00,8.00,12.00,3.00,15.00,5.00,10.00,2.00,4.00,5.00,13.00,9.00,59.80,90.00,96.00%,4.00
Bruges,Belgium,15.75,35.00,21.00,16.00,7.00,8.00,16.00,4.00,6.00,6.00,14.00,15.00,67.00,29.00,17.50,14.00,58.00%,34.00
Gothenburg,Sweden,15.75,36.00,20.00,17.00,8.00,7.00,17.00,3.00,5.00,7.00,11.00,12.00,69.00,31.00,16.67,13.00,56.00%,36.00
Los Angeles,USA,16.25,37.00,29.00,8.00,12.00,3.00,14.00,6.00,11.00,1.00,0.00,1.00,1.00,2.00,64.35,100.00,89.00%,9.00
Brisbane,Australia,16.25,38.00,21.00,16.00,7.00,8.00,11.00,9.00,4.00,8.00,7.00,8.00,66.00,28.00,26.22,40.00,83.00%,13.00
Byron Bay,Australia,16.25,39.00,20.00,17.00,7.00,8.00,11.00,9.00,4.00,8.00,9.00,10.00,104.00,50.00,16.67,13.00,81.00%,15.00
Austin,USA,16.25,40.00,35.00,3.00,10.00,5.00,14.00,6.00,11.00,1.00,5.00,6.00,42.00,16.00,37.40,64.00,63.00%,29.00
Copenhagen,Denmark,16.25,41.00,21.00,16.00,8.00,7.00,17.00,3.00,5.00,7.00,13.00,14.00,70.00,32.00,18.80,16.00,57.00%,35.00
Valletta ,Malta,16.38,42.00,30.00,7.00,12.00,3.00,14.00,6.00,10.00,2.00,0.00,1.00,0.00,1.00,68.06,108.00,98.00%,3.00
Dubai,United Emirates,16.50,43.00,41.00,1.00,10.00,5.00,14.00,6.00,11.00,1.00,0.00,1.00,0.00,1.00,50.64,79.00,54.00%,38.00
Nice,France,17.00,44.00,26.00,11.00,11.00,4.00,15.00,5.00,8.00,4.00,5.00,6.00,22.00,13.00,50.00,78.00,81.00%,15.00
Villefranche-sur-Mer,France,17.00,45.00,26.00,11.00,11.00,4.00,15.00,5.00,8.00,4.00,5.00,6.00,22.00,13.00,50.00,78.00,81.00%,15.00
Sunshine Coast,Australia,17.38,46.00,20.00,17.00,7.00,8.00,11.00,9.00,4.00,8.00,7.00,8.00,113.00,52.00,22.12,23.00,82.00%,14.00
Boston,USA,17.38,47.00,28.00,9.00,9.00,6.00,15.00,5.00,8.00,4.00,9.00,10.00,75.00,35.00,26.03,39.00,61.00%,31.00
Cairo ,Egypt,17.50,48.00,35.00,3.00,11.00,4.00,14.00,6.00,11.00,1.00,0.00,1.00,0.00,1.00,83.14,122.00,99.00%,2.00
Bern,Switzerland,17.50,49.00,22.00,15.00,8.00,7.00,15.00,5.00,8.00,4.00,15.00,16.00,95.00,47.00,19.23,17.00,63.00%,29.00
Amsterdam, Netherlands,17.50,50.00,21.00,16.00,6.00,9.00,16.00,4.00,6.00,6.00,14.00,15.00,71.00,33.00,21.31,21.00,56.00%,36.00
Marrakech,Morocco,17.63,51.00,36.00,2.00,11.00,4.00,14.00,6.00,11.00,1.00,1.00,2.00,1.00,2.00,80.16,119.00,95.00%,5.00
Geneva ,Switzerland,17.75,52.00,25.00,12.00,8.00,7.00,15.00,5.00,8.00,4.00,13.00,14.00,72.00,34.00,26.52,41.00,67.00%,25.00
Tromsø,Norway,17.75,53.00,14.00,22.00,7.00,8.00,24.00,1.00,3.00,9.00,18.00,19.00,68.00,30.00,14.06,6.00,40.00%,47.00
Doha,Qatar,18.00,54.00,41.00,1.00,11.00,4.00,14.00,6.00,11.00,1.00,0.00,1.00,0.00,1.00,62.50,95.00,57.00%,35.00
Sydney,Australia,18.13,55.00,17.00,20.00,7.00,8.00,10.00,10.00,3.00,9.00,8.00,9.00,77.00,37.00,24.53,34.00,75.00%,18.00
Melbourne,Australia,18.13,56.00,13.00,23.00,4.00,11.00,10.00,10.00,2.00,10.00,10.00,11.00,48.00,19.00,22.78,29.00,60.00%,32.00
Barcelona,Spain,18.50,57.00,27.00,10.00,10.00,5.00,15.00,5.00,9.00,3.00,5.00,6.00,23.00,14.00,61.15,93.00,84.00%,12.00
Edinburgh,United Kingdom,18.50,58.00,18.00,19.00,5.00,10.00,17.00,3.00,5.00,7.00,14.00,15.00,62.00,26.00,22.56,27.00,49.00%,41.00
Bora Bora,French Polynesia,18.63,59.00,29.00,8.00,8.00,7.00,11.00,9.00,8.00,4.00,5.00,6.00,84.00,41.00,33.33,52.00,70.00%,22.00
Toronto,Canada,18.75,60.00,27.00,10.00,9.00,6.00,15.00,5.00,8.00,4.00,9.00,10.00,70.00,32.00,33.74,54.00,63.00%,29.00
Oslo,Norway,19.00,61.00,21.00,16.00,7.00,8.00,24.00,1.00,3.00,9.00,18.00,19.00,68.00,30.00,22.83,30.00,52.00%,39.00
Bratislava ,Slovakia,19.13,62.00,26.00,11.00,8.00,7.00,16.00,4.00,7.00,5.00,12.00,13.00,64.00,27.00,35.16,59.00,65.00%,27.00
Rotterdam,Netherlands,19.38,63.00,21.00,16.00,6.00,9.00,16.00,4.00,6.00,6.00,13.00,14.00,71.00,33.00,25.76,38.00,57.00%,35.00
Amalfi Coast,Italy,19.88,64.00,29.00,8.00,10.00,5.00,15.00,5.00,9.00,3.00,5.00,6.00,22.00,13.00,71.64,111.00,90.00%,8.00
Sorrento,Italy,20.00,65.00,28.00,9.00,10.00,5.00,15.00,5.00,9.00,3.00,4.00,5.00,23.00,14.00,71.64,111.00,90.00%,8.00
Naples,Italy,20.00,66.00,29.00,8.00,10.00,5.00,15.00,5.00,9.00,3.00,5.00,6.00,22.00,13.00,71.64,111.00,89.00%,9.00
Zurich,Switzerland,20.13,67.00,23.00,14.00,7.00,8.00,15.00,5.00,8.00,4.00,16.00,17.00,127.00,56.00,22.45,26.00,61.00%,31.00
Queenstown,New Zealand,20.13,68.00,6.00,25.00,2.00,13.00,9.00,11.00,1.00,11.00,12.00,13.00,80.00,39.00,10.00,3.00,41.00%,46.00
Lagos,Portugal,20.25,69.00,28.00,9.00,3.00,12.00,12.00,8.00,11.00,1.00,13.00,14.00,265.00,81.00,23.53,31.00,93.00%,6.00
Monaco,Monaco,20.25,70.00,25.00,12.00,10.00,5.00,15.00,5.00,8.00,4.00,5.00,6.00,23.00,14.00,64.39,101.00,81.00%,15.00
Zagreb,Croatia,20.38,71.00,26.00,11.00,9.00,6.00,15.00,5.00,8.00,4.00,14.00,15.00,90.00,44.00,34.43,57.00,72.00%,21.00
Ljubljana,Slovenia,20.38,72.00,26.00,11.00,9.00,6.00,15.00,5.00,8.00,4.00,15.00,16.00,126.00,55.00,28.50,43.00,69.00%,23.00
Montreal,Canada,20.50,73.00,27.00,10.00,9.00,6.00,15.00,5.00,7.00,5.00,12.00,13.00,93.00,46.00,30.43,46.00,59.00%,33.00
Munich,Germany,20.50,74.00,23.00,14.00,8.00,7.00,16.00,4.00,7.00,5.00,15.00,16.00,108.00,51.00,24.38,33.00,58.00%,34.00
Hamburg,Germany,20.63,75.00,21.00,16.00,7.00,8.00,16.00,4.00,6.00,6.00,17.00,18.00,80.00,39.00,25.66,36.00,54.00%,38.00
St Barts,Saint Barthélemy,20.75,76.00,31.00,6.00,8.00,7.00,13.00,7.00,11.00,1.00,17.00,18.00,76.00,36.00,32.14,50.00,49.00%,41.00
Berlin,Germany,20.88,77.00,24.00,13.00,7.00,8.00,16.00,4.00,6.00,6.00,14.00,15.00,53.00,23.00,35.90,61.00,55.00%,37.00
Dublin,Ireland,21.00,78.00,19.00,18.00,5.00,10.00,16.00,4.00,6.00,6.00,14.00,15.00,51.00,22.00,33.61,53.00,50.00%,40.00
Lake Como,Italy,21.13,79.00,27.00,10.00,9.00,6.00,15.00,5.00,8.00,4.00,9.00,10.00,71.00,33.00,45.45,71.00,62.00%,30.00
Prague,Czech Republic,21.13,80.00,24.00,13.00,7.00,8.00,16.00,4.00,6.00,6.00,14.00,15.00,68.00,30.00,35.00,58.00,57.00%,35.00
Cancun,Mexico,21.25,81.00,32.00,5.00,7.00,8.00,13.00,7.00,11.00,1.00,11.00,12.00,127.00,56.00,22.41,25.00,25.00%,56.00
Tulum,Mexico,21.38,82.00,33.00,4.00,7.00,8.00,13.00,7.00,11.00,1.00,12.00,13.00,130.00,58.00,21.43,22.00,23.00%,58.00
Salzburg,Austria,21.63,83.00,23.00,14.00,7.00,8.00,16.00,4.00,7.00,5.00,17.00,18.00,176.00,73.00,18.06,15.00,56.00%,36.00
Perth,Australia,21.75,84.00,18.00,19.00,5.00,10.00,10.00,10.00,3.00,9.00,15.00,16.00,169.00,71.00,21.43,22.00,77.00%,17.00
Venice,Italy,21.75,85.00,28.00,9.00,9.00,6.00,15.00,5.00,8.00,4.00,10.00,11.00,64.00,27.00,60.19,92.00,73.00%,20.00
Budapest,Hungary,21.75,86.00,27.00,10.00,9.00,6.00,16.00,4.00,7.00,5.00,11.00,12.00,54.00,24.00,58.00,89.00,68.00%,24.00
Chicago ,USA,22.00,87.00,29.00,8.00,10.00,5.00,15.00,5.00,9.00,3.00,10.00,11.00,100.00,49.00,44.81,68.00,65.00%,27.00
Wellington,New Zealand,22.13,88.00,11.00,24.00,4.00,11.00,10.00,10.00,1.00,11.00,16.00,17.00,144.00,62.00,13.92,5.00,55.00%,37.00
Rio de Janeiro,Brazil,22.50,89.00,24.00,13.00,6.00,9.00,11.00,9.00,5.00,7.00,9.00,10.00,66.00,28.00,53.11,82.00,70.00%,22.00
Sofia,Bulgaria,23.00,90.00,26.00,11.00,9.00,6.00,15.00,5.00,9.00,3.00,8.00,9.00,60.00,25.00,76.59,115.00,87.00%,10.00
Miami,United States,23.00,91.00,31.00,6.00,10.00,5.00,14.00,6.00,11.00,1.00,16.00,17.00,119.00,53.00,29.27,45.00,35.00%,51.00
Victoria,Seychelles,23.25,92.00,27.00,10.00,7.00,8.00,12.00,8.00,10.00,2.00,16.00,17.00,81.00,40.00,33.33,52.00,38.00%,49.00
Auckland,New Zealand,24.00,93.00,14.00,22.00,4.00,11.00,10.00,10.00,2.00,10.00,19.00,20.00,133.00,60.00,22.63,28.00,61.00%,31.00
Montego Bay,Jamaica,24.13,94.00,32.00,5.00,8.00,7.00,13.00,7.00,11.00,1.00,13.00,14.00,53.00,23.00,51.67,81.00,26.00%,55.00
Buenos Aires,Argentina,24.25,95.00,15.00,21.00,5.00,10.00,10.00,10.00,2.00,10.00,7.00,8.00,62.00,26.00,45.08,70.00,52.00%,39.00
Turin,Italy,24.50,96.00,27.00,10.00,9.00,6.00,15.00,5.00,8.00,4.00,10.00,11.00,51.00,22.00,79.57,118.00,73.00%,20.00
London,United Kingdom,24.75,97.00,22.00,15.00,6.00,9.00,16.00,4.00,6.00,6.00,10.00,11.00,49.00,20.00,63.02,98.00,57.00%,35.00
Cartagena,Colombia,24.75,98.00,32.00,5.00,7.00,8.00,13.00,7.00,11.00,1.00,10.00,11.00,97.00,48.00,33.33,52.00,7.00%,66.00
Milan,Italy,24.88,99.00,29.00,8.00,9.00,6.00,15.00,5.00,8.00,4.00,10.00,11.00,68.00,30.00,77.20,116.00,74.00%,19.00
Paris,France,24.88,100.00,24.00,13.00,8.00,7.00,16.00,4.00,7.00,5.00,11.00,12.00,54.00,24.00,65.77,103.00,61.00%,31.00
New York,USA,24.88,101.00,29.00,8.00,9.00,6.00,15.00,5.00,8.00,4.00,9.00,10.00,104.00,50.00,53.22,83.00,59.00%,33.00
Nadi,Fiji,25.63,102.00,26.00,11.00,5.00,10.00,11.00,9.00,7.00,5.00,19.00,20.00,86.00,42.00,50.00,78.00,62.00%,30.00
Cape Town,South Africa,25.75,103.00,17.00,20.00,6.00,9.00,10.00,10.00,3.00,9.00,13.00,14.00,164.00,68.00,30.84,47.00,63.00%,29.00
New Orleans,USA,26.13,104.00,33.00,4.00,8.00,7.00,14.00,6.00,11.00,1.00,14.00,15.00,174.00,72.00,35.33,60.00,46.00%,44.00
Nairobi,Kenya,26.13,105.00,21.00,16.00,4.00,11.00,12.00,8.00,11.00,1.00,6.00,7.00,22.00,13.00,68.99,109.00,46.00%,44.00
Sarajevo,Bosnia and Herzegovina,26.50,106.00,24.00,13.00,8.00,7.00,15.00,5.00,8.00,4.00,11.00,12.00,86.00,42.00,73.83,113.00,78.00%,16.00
Brussels,Belgium,27.00,107.00,23.00,14.00,7.00,8.00,16.00,4.00,6.00,6.00,16.00,17.00,75.00,35.00,63.00,97.00,57.00%,35.00
St Lucia,Saint Lucia,27.00,108.00,30.00,7.00,8.00,7.00,13.00,7.00,11.00,1.00,21.00,22.00,245.00,78.00,32.14,50.00,46.00%,44.00
Singapore,Malaysia,27.00,109.00,31.00,6.00,6.00,9.00,12.00,8.00,11.00,1.00,14.00,15.00,156.00,66.00,33.31,51.00,15.00%,60.00
Tokyo,Japan,27.50,110.00,29.00,8.00,5.00,10.00,14.00,6.00,10.00,2.00,19.00,20.00,128.00,57.00,38.47,65.00,34.00%,52.00
Punta Cana,Dominican Republic,27.75,111.00,32.00,5.00,9.00,6.00,13.00,7.00,11.00,1.00,16.00,17.00,92.00,45.00,60.00,91.00,36.00%,50.00
Warsaw,Poland,28.00,112.00,24.00,13.00,7.00,8.00,16.00,4.00,7.00,5.00,14.00,15.00,72.00,34.00,69.80,110.00,57.00%,35.00
Ubud,Indonesia,28.00,113.00,29.00,8.00,10.00,5.00,12.00,8.00,10.00,2.00,3.00,4.00,119.00,53.00,63.54,99.00,45.00%,45.00
Havana,Cuba,28.00,114.00,32.00,5.00,9.00,6.00,13.00,7.00,11.00,1.00,10.00,11.00,149.00,63.00,50.00,78.00,33.00%,53.00
San Juan,Puerto Rico,28.38,115.00,30.00,7.00,9.00,6.00,13.00,7.00,11.00,1.00,19.00,20.00,180.00,74.00,36.76,63.00,38.00%,49.00
Nassau,Bahamas,28.38,116.00,32.00,5.00,9.00,6.00,14.00,6.00,11.00,1.00,22.00,23.00,150.00,64.00,47.12,73.00,38.00%,49.00
Kyoto,Japan,28.63,117.00,29.00,8.00,5.00,10.00,14.00,6.00,11.00,1.00,19.00,20.00,214.00,77.00,34.38,56.00,35.00%,51.00
Chamonix,France,29.00,118.00,11.00,24.00,8.00,7.00,15.00,5.00,8.00,4.00,15.00,16.00,130.00,58.00,61.96,94.00,68.00%,24.00
Jakarta,Indonesia,29.50,119.00,32.00,5.00,9.00,6.00,12.00,8.00,10.00,2.00,9.00,10.00,77.00,37.00,78.62,117.00,35.00%,51.00
Kingston,Jamaica,29.63,120.00,32.00,5.00,7.00,8.00,13.00,7.00,11.00,1.00,13.00,14.00,92.00,45.00,64.77,102.00,26.00%,55.00
Colombo,Sri Lanka,29.75,121.00,30.00,7.00,6.00,9.00,12.00,8.00,11.00,1.00,11.00,12.00,124.00,54.00,54.44,86.00,13.00%,61.00
Phuket,Thailand,30.00,122.00,31.00,6.00,6.00,9.00,13.00,7.00,11.00,1.00,20.00,21.00,284.00,84.00,31.03,48.00,9.00%,64.00
Boracay,Philippines,30.13,123.00,31.00,6.00,6.00,9.00,13.00,7.00,11.00,1.00,20.00,21.00,429.00,88.00,29.17,44.00,8.00%,65.00
Beijing,China,30.38,124.00,31.00,6.00,8.00,7.00,15.00,5.00,9.00,3.00,14.00,15.00,152.00,65.00,73.03,112.00,62.00%,30.00
Taipei,Taiwan,30.38,125.00,32.00,5.00,8.00,7.00,14.00,6.00,11.00,1.00,15.00,16.00,196.00,76.00,47.57,75.00,24.00%,57.00
Krakow,Poland,31.00,126.00,23.00,14.00,7.00,8.00,16.00,4.00,7.00,5.00,14.00,15.00,93.00,46.00,85.19,124.00,60.00%,32.00
Bali,Indonesia,31.13,127.00,29.00,8.00,10.00,5.00,12.00,8.00,10.00,2.00,3.00,4.00,119.00,53.00,67.50,107.00,12.00%,62.00
Busan,South Korea,31.38,128.00,27.00,10.00,6.00,9.00,14.00,6.00,10.00,2.00,14.00,15.00,271.00,82.00,51.14,80.00,40.00%,47.00
Panama City,Panama,31.63,129.00,30.00,7.00,6.00,9.00,13.00,7.00,11.00,1.00,21.00,22.00,272.00,83.00,48.97,76.00,39.00%,48.00
Shanghai,China,31.63,130.00,31.00,6.00,7.00,8.00,14.00,6.00,11.00,1.00,12.00,13.00,135.00,61.00,66.83,104.00,32.00%,54.00
Seoul,South Korea,32.38,131.00,28.00,9.00,6.00,9.00,14.00,6.00,10.00,2.00,16.00,17.00,358.00,86.00,56.78,87.00,47.00%,43.00
Malé,Maldives,32.75,132.00,30.00,7.00,7.00,8.00,12.00,8.00,11.00,1.00,13.00,14.00,161.00,67.00,62.93,96.00,13.00%,61.00
Siem Reap,Cambodia,33.50,133.00,32.00,5.00,6.00,9.00,13.00,7.00,11.00,1.00,18.00,19.00,186.00,75.00,57.50,88.00,9.00%,64.00
Guadalajara,Mexico,33.88,134.00,27.00,10.00,6.00,9.00,13.00,7.00,11.00,1.00,20.00,21.00,256.00,79.00,54.11,84.00,15.00%,60.00
Bangkok,Thailand,35.88,135.00,33.00,4.00,6.00,9.00,13.00,7.00,11.00,1.00,17.00,18.00,167.00,70.00,74.27,114.00,9.00%,64.00
Hong Kong,China,36.13,136.00,31.00,6.00,7.00,8.00,13.00,7.00,11.00,1.00,17.00,18.00,325.00,85.00,66.98,105.00,19.00%,59.00
Mexico City,Mexico,36.38,137.00,24.00,13.00,5.00,10.00,13.00,7.00,11.00,1.00,20.00,21.00,131.00,59.00,81.25,120.00,15.00%,60.00
Chiang Mai,Thailand,37.50,138.00,31.00,6.00,5.00,10.00,13.00,7.00,11.00,1.00,20.00,21.00,165.00,69.00,81.25,120.00,7.00%,66.00
Hanoi,Vietnam,38.00,139.00,33.00,4.00,6.00,9.00,13.00,7.00,11.00,1.00,16.00,17.00,258.00,80.00,84.93,123.00,10.00%,63.00
Manila,Philippines,39.75,140.00,31.00,6.00,6.00,9.00,13.00,7.00,11.00,1.00,21.00,22.00,389.00,87.00,82.45,121.00,8.00%,65.00
