CITY,COUNTRY,AVERAGE RANK,OVERALL RANK,AVERAGE HIGHEST TEMP,AVERAGE HIGHEST TEMP RANK,AVG. DAILY HOURS OF SUNSHINE,AVG. DAILY HOURS OF SUNSHINE RANK,AVG. DAILY HOURS OF DAYLIGHT,AVG. DAILY HOURS OF DAYLIGHT RANK,AVERAGE UV ACROSS YEAR,AVERAGE UV ACROSS YEAR RANK,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR RANK,AVG. MONTHLY RAINFALL ACROSS YEAR,AVG. MONTHLY RAINFALL ACROSS YEAR RANK,AIR POLLUTION SCORE,AIR POLLUTION SCORE RANK,% OF CLEAR SKIES ACROSS THE YEAR,% OF CLEAR SKIES ACROSS THE YEAR RANK
Nice,France,25.38,94.00,19.00,17.00,6.00,5.00,11.00,3.00,3.00,9.00,9.00,10.00,104.00,56.00,50.00,78.00,54.00%,25.00
Oslo,Norway,26.88,101.00,9.00,26.00,2.00,9.00,9.00,5.00,0.00,12.00,24.00,23.00,118.00,65.00,22.83,30.00,34.00%,45.00
Palma de Mallorca,Spain,18.88,45.00,22.00,14.00,6.00,5.00,11.00,3.00,4.00,8.00,12.00,13.00,98.00,53.00,23.81,32.00,56.00%,23.00
Panama City,Panama,28.00,111.00,29.00,7.00,5.00,6.00,12.00,2.00,11.00,1.00,22.00,22.00,333.00,95.00,48.97,76.00,64.00%,15.00
Paris,France,27.25,106.00,16.00,20.00,4.00,7.00,11.00,3.00,3.00,9.00,14.00,15.00,59.00,25.00,65.77,103.00,43.00%,36.00
Perth,Australia,9.75,2.00,22.00,14.00,9.00,2.00,13.00,1.00,8.00,4.00,9.00,10.00,52.00,21.00,21.43,22.00,80.00%,4.00
Petra,Jordan,17.13,26.00,27.00,9.00,10.00,1.00,11.00,3.00,7.00,5.00,1.00,2.00,4.00,3.00,67.22,106.00,75.00%,8.00
Phuket,Thailand,29.63,123.00,31.00,5.00,6.00,5.00,12.00,2.00,11.00,1.00,22.00,22.00,339.00,96.00,31.03,48.00,12.00%,58.00
Porto,Portugal,21.00,68.00,21.00,15.00,6.00,5.00,11.00,3.00,4.00,8.00,14.00,15.00,129.00,70.00,22.31,24.00,51.00%,28.00
Prague,Czech Republic,19.63,54.00,14.00,22.00,4.00,7.00,11.00,3.00,2.00,10.00,11.00,12.00,31.00,9.00,35.00,58.00,43.00%,36.00
Punta Cana,Dominican Republic,29.75,124.00,31.00,5.00,8.00,3.00,12.00,2.00,10.00,2.00,16.00,17.00,142.00,73.00,60.00,91.00,34.00%,45.00
Queenstown,New Zealand,18.50,40.00,13.00,23.00,6.00,5.00,13.00,1.00,5.00,7.00,14.00,15.00,114.00,63.00,10.00,3.00,48.00%,31.00
Rio de Janeiro,Brazil,27.13,103.00,26.00,10.00,5.00,6.00,13.00,1.00,11.00,1.00,18.00,19.00,129.00,70.00,53.11,82.00,51.00%,28.00
Rome,Italy,24.25,89.00,22.00,14.00,6.00,5.00,11.00,3.00,4.00,8.00,12.00,13.00,97.00,52.00,49.81,77.00,57.00%,22.00
Rotterdam,Netherlands,22.00,72.00,14.00,22.00,3.00,8.00,11.00,3.00,2.00,10.00,16.00,17.00,84.00,42.00,25.76,38.00,43.00%,36.00
Salzburg,Austria,17.75,31.00,14.00,22.00,5.00,6.00,11.00,3.00,3.00,9.00,12.00,13.00,79.00,38.00,18.06,15.00,43.00%,36.00
San Francisco,USA,14.88,14.00,21.00,15.00,8.00,3.00,11.00,3.00,5.00,7.00,4.00,5.00,35.00,10.00,40.97,66.00,72.00%,10.00
San Juan,Puerto Rico,27.63,109.00,30.00,6.00,7.00,4.00,12.00,2.00,10.00,2.00,18.00,19.00,171.00,81.00,36.76,63.00,35.00%,44.00
Santorini,Greece,17.38,28.00,22.00,14.00,7.00,4.00,11.00,3.00,5.00,7.00,4.00,5.00,61.00,27.00,44.88,69.00,72.00%,10.00
Sarajevo,Bosnia and Herzegovina,29.38,122.00,15.00,21.00,5.00,6.00,11.00,3.00,3.00,9.00,11.00,12.00,82.00,41.00,73.83,113.00,49.00%,30.00
Seattle,USA,22.38,76.00,16.00,20.00,5.00,6.00,11.00,3.00,3.00,9.00,12.00,13.00,87.00,45.00,31.53,49.00,45.00%,34.00
Seoul,South Korea,19.63,53.00,20.00,16.00,7.00,4.00,11.00,3.00,4.00,8.00,6.00,7.00,49.00,20.00,56.78,87.00,69.00%,12.00
Seville,Spain,19.25,47.00,26.00,10.00,7.00,4.00,11.00,3.00,5.00,7.00,10.00,11.00,61.00,27.00,41.41,67.00,54.00%,25.00
Shanghai,China,22.63,80.00,22.00,14.00,5.00,6.00,11.00,3.00,7.00,5.00,12.00,13.00,58.00,24.00,66.83,104.00,69.00%,12.00
Siem Reap,Cambodia,32.13,132.00,31.00,5.00,7.00,4.00,12.00,2.00,11.00,1.00,15.00,16.00,215.00,89.00,57.50,88.00,21.00%,52.00
Singapore,Malaysia,28.00,113.00,31.00,5.00,5.00,6.00,12.00,2.00,11.00,1.00,16.00,17.00,198.00,85.00,33.31,51.00,13.00%,57.00
Sofia,Bulgaria,24.00,88.00,16.00,20.00,5.00,6.00,11.00,3.00,4.00,8.00,5.00,6.00,38.00,13.00,76.59,115.00,58.00%,21.00
Sorrento,Italy,27.63,108.00,21.00,15.00,6.00,5.00,11.00,3.00,4.00,8.00,11.00,12.00,89.00,46.00,71.64,111.00,58.00%,21.00
Split,Croatia,17.88,32.00,19.00,17.00,6.00,5.00,11.00,3.00,3.00,9.00,12.00,13.00,102.00,54.00,20.37,20.00,57.00%,22.00
St Barts,Saint Barthélemy,22.75,82.00,31.00,5.00,8.00,3.00,12.00,2.00,10.00,2.00,20.00,21.00,109.00,58.00,32.14,50.00,38.00%,41.00
St Lucia,Saint Lucia,27.63,110.00,30.00,6.00,7.00,4.00,12.00,2.00,11.00,1.00,18.00,19.00,269.00,92.00,32.14,50.00,32.00%,47.00
Stockholm,Sweden,16.63,22.00,10.00,25.00,3.00,8.00,10.00,4.00,1.00,11.00,14.00,15.00,47.00,18.00,15.10,9.00,36.00%,43.00
Sunshine Coast,Australia,14.00,12.00,25.00,11.00,9.00,2.00,13.00,1.00,10.00,2.00,10.00,11.00,107.00,57.00,22.12,23.00,79.00%,5.00
Sydney,Australia,16.00,19.00,22.00,14.00,8.00,3.00,13.00,1.00,8.00,4.00,11.00,12.00,91.00,48.00,24.53,34.00,69.00%,12.00
Taipei,Taiwan,24.88,92.00,26.00,10.00,5.00,6.00,12.00,2.00,9.00,3.00,16.00,17.00,122.00,67.00,47.57,75.00,60.00%,19.00
Tallinn,Estonia,18.25,36.00,9.00,26.00,3.00,8.00,10.00,4.00,1.00,11.00,17.00,18.00,71.00,33.00,14.54,7.00,40.00%,39.00
Tokyo,Japan,27.50,107.00,21.00,15.00,4.00,7.00,11.00,3.00,5.00,7.00,16.00,17.00,158.00,78.00,38.47,65.00,51.00%,28.00
Toronto,Canada,19.75,56.00,14.00,22.00,5.00,6.00,11.00,3.00,3.00,9.00,11.00,12.00,63.00,29.00,33.74,54.00,56.00%,23.00
Tromsø,Norway,24.75,91.00,4.00,27.00,2.00,9.00,9.00,5.00,0.00,12.00,24.00,23.00,118.00,65.00,14.06,6.00,26.00%,51.00
Tulum,Mexico,22.50,79.00,31.00,5.00,6.00,5.00,12.00,2.00,10.00,2.00,13.00,14.00,202.00,87.00,21.43,22.00,36.00%,43.00
Turin,Italy,28.88,120.00,17.00,19.00,5.00,6.00,11.00,3.00,3.00,9.00,10.00,11.00,78.00,37.00,79.57,118.00,51.00%,28.00
Ubud,Indonesia,30.25,128.00,31.00,5.00,10.00,1.00,12.00,2.00,11.00,1.00,3.00,4.00,173.00,82.00,63.54,99.00,31.00%,48.00
Valletta ,Malta,25.88,98.00,24.00,12.00,7.00,4.00,11.00,3.00,5.00,7.00,10.00,11.00,86.00,44.00,68.06,108.00,61.00%,18.00
Vancouver,Canada,24.25,90.00,14.00,22.00,4.00,7.00,11.00,3.00,2.00,10.00,16.00,17.00,152.00,77.00,19.82,18.00,39.00%,40.00
Venice,Italy,25.25,93.00,18.00,18.00,5.00,6.00,11.00,3.00,3.00,9.00,11.00,12.00,74.00,36.00,60.19,92.00,53.00%,26.00
Victoria,Seychelles,25.38,96.00,29.00,7.00,7.00,4.00,12.00,2.00,11.00,1.00,15.00,16.00,206.00,88.00,33.33,52.00,46.00%,33.00
Vienna,Austria,12.75,7.00,15.00,21.00,4.00,7.00,11.00,3.00,3.00,9.00,9.00,10.00,37.00,12.00,15.50,10.00,49.00%,30.00
Villefranche-sur-Mer,France,25.38,95.00,19.00,17.00,6.00,5.00,11.00,3.00,3.00,9.00,9.00,10.00,104.00,56.00,50.00,78.00,54.00%,25.00
Warsaw,Poland,27.00,102.00,13.00,23.00,3.00,8.00,11.00,3.00,2.00,10.00,13.00,14.00,36.00,11.00,69.80,110.00,42.00%,37.00
Wellington,New Zealand,16.00,20.00,15.00,21.00,6.00,5.00,13.00,1.00,6.00,6.00,14.00,15.00,103.00,55.00,13.92,5.00,59.00%,20.00
Zagreb,Croatia,23.13,85.00,16.00,20.00,4.00,7.00,11.00,3.00,3.00,9.00,12.00,13.00,90.00,47.00,34.43,57.00,50.00%,29.00
Zanzibar,Tanzania,11.63,4.00,31.00,5.00,8.00,3.00,12.00,2.00,11.00,1.00,9.00,10.00,96.00,51.00,8.33,1.00,59.00%,20.00
Zurich,Switzerland,18.63,43.00,13.00,23.00,3.00,8.00,11.00,3.00,3.00,9.00,12.00,13.00,67.00,30.00,22.45,26.00,42.00%,37.00
