CITY,COUNTRY,CODE,AVERAGE RANK,OVERALL RANK,AVERAGE HIGHEST TEMP,AVERAGE HIGHEST TEMP RANK,AVG. DAILY HOURS OF SUNSHINE,AVG. DAILY HOURS OF SUNSHINE RANK,AVG. DAILY HOURS OF DAYLIGHT,AVG. DAILY HOURS OF DAYLIGHT RANK,AVERAGE UV ACROSS YEAR,AVERAGE UV ACROSS YEAR RANK,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR RANK,AVG. MONTHLY RAINFALL ACROSS YEAR,AVG. MONTHLY RAINFALL ACROSS YEAR RANK,AIR POLLUTION SCORE,AIR POLLUTION SCORE RANK,% OF CLEAR SKIES ACROSS THE YEAR,% OF CLEAR SKIES ACROSS THE YEAR RANK,LATITUDE,LONGITUDE,COLOR
Santorini,Greece,gr,28.13,11.00,20.67,55.00,8.08,15.00,12.08,6.00,5.92,40.00,5.42,7.00,46.17,19.00,44.88,71.00,74.08%,12.00,36.3932,25.4615,#cc0100
Antigua,Antigua and Barbuda,ag,28.88,12.00,29.67,4.00,7.67,20.00,12.17,5.00,10.17,8.00,15.00,70.00,86.67,70.00,8.33,1.00,54.83%,53.00,17.0608,-61.7964,#cc0100
Marrakech,Morocco,ma,29.00,13.00,26.17,37.00,8.58,10.00,12.08,6.00,7.25,29.00,4.17,6.00,20.75,6.00,80.16,122.00,72.58%,16.00,31.6295,-7.9811,#cc0100
Seville,Spain,es,29.38,14.00,24.75,42.00,8.00,16.00,12.17,5.00,5.75,41.00,8.75,20.00,48.25,21.00,41.41,68.00,67.25%,22.00,37.3891,-5.9845,#cc0100
Mykonos,Greece,gr,29.63,15.00,19.50,60.00,8.75,8.00,12.17,5.00,5.75,41.00,5.67,9.00,43.83,17.00,54.33,88.00,74.50%,9.00,37.4467,25.3289,#e06666
Ibiza,Spain,es,29.75,16.00,21.25,51.00,7.67,20.00,12.17,5.00,5.42,44.00,9.17,24.00,37.58,11.00,34.09,57.00,65.75%,26.00,38.9067,1.4206,#e06666
Lisbon,Portugal,pt,29.88,17.00,21.17,8.00,7.00,28.00,12.25,4.00,5.33,45.00,9.33,26.00,61.92,38.00,36.00,62.00,64.92%,28.00,38.7223,-9.1393,#e06666
Athens,Greece,gr,30.38,18.00,21.42,50.00,7.67,20.00,12.17,5.00,5.75,41.00,5.75,10.00,38.08,12.00,54.33,88.00,71.58%,17.00,37.9838,23.7275,#e06666
San Francisco,USA,us,30.88,19.00,17.75,69.00,8.50,11.00,12.17,5.00,5.75,41.00,5.50,8.00,49.00,22.00,40.97,67.00,66.25%,24.00,37.7749,-122.4194,#e06666
Anguilla,Anguilla,ai,30.88,20.00,30.08,19.00,8.25,13.00,12.17,5.00,10.00,10.00,16.67,82.00,83.33,67.00,8.33,1.00,56.17%,50.00,18.2206,-63.0686,#e06666
Brisbane,Australia,au,31.13,21.00,25.67,39.00,7.92,17.00,12.08,6.00,8.25,22.00,10.25,33.00,100.67,87.00,26.22,39.00,75.83%,6.00,-27.4698,153.0251,#e06666
Palma de Mallorca,Spain,es,31.25,22.00,20.50,56.00,7.33,24.00,12.17,5.00,5.33,45.00,10.08,31.00,53.08,30.00,23.81,32.00,65.58%,27.00,39.5696,2.6502,#e06666
Austin,USA,us,31.75,23.00,25.92,38.00,7.33,24.00,12.08,6.00,7.83,26.00,6.92,13.00,67.17,47.00,37.40,65.00,62.33%,35.00,30.2672,-97.7431,#e06666
Hvar,Croatia,hr,31.88,24.00,18.50,10.00,6.92,29.00,12.17,5.00,4.42,55.00,11.17,43.00,75.33,58.00,20.37,17.00,61.17%,38.00,43.1729,16.4414,#e06666
Lagos,Portugal,pt,32.00,25.00,30.67,12.00,5.17,46.00,12.00,7.00,10.92,2.00,9.00,23.00,140.67,114.00,23.53,31.00,67.58%,21.00,6.5244,3.3792,#e06666
Valletta ,Malta,mt,32.25,26.00,22.00,48.00,8.08,15.00,12.08,6.00,6.08,38.00,6.67,12.00,41.58,14.00,68.06,111.00,72.92%,14.00,35.8989,14.5146,#e06666
Darwin,Australia,au,32.50,27.00,32.08,6.00,8.67,9.00,12.08,6.00,10.50,6.00,7.50,14.00,107.33,93.00,16.41,11.00,36.83%,115.00,-12.4634,130.8456,#e06666
Gold Coast,Australia,au,32.75,28.00,24.75,42.00,7.50,22.00,12.17,5.00,8.08,23.00,10.75,38.00,137.17,113.00,16.67,12.00,75.42%,7.00,-28.0167,153.4,#e06666
Zanzibar,Tanzania,tz,32.75,29.00,30.33,16.00,7.58,21.00,12.00,7.00,10.67,5.00,10.42,35.00,137.08,112.00,8.33,1.00,50.92%,65.00,-6.1659,39.2026,#ea9999
Sunshine Coast,Australia,au,32.88,30.00,24.83,41.00,7.92,17.00,12.17,5.00,8.33,21.00,10.25,33.00,152.50,116.00,22.12,22.00,75.00%,8.00,-26.65,153.0667,#ea9999
Tulum,Mexico,mx,33.00,31.00,31.42,2.00,6.83,30.00,12.08,6.00,9.92,11.00,8.83,21.00,116.58,103.00,21.43,19.00,49.92%,72.00,20.211,-87.4654,#ea9999
Cape Town,South Africa,za,33.13,32.00,20.83,53.00,8.17,14.00,12.00,7.00,7.25,29.00,8.83,21.00,90.00,75.00,30.84,47.00,69.67%,19.00,-33.9249,18.4241,#ea9999
Melbourne,Australia,au,34.13,33.00,19.50,60.00,6.08,37.00,12.17,5.00,6.33,36.00,10.50,36.00,59.42,35.00,22.13,23.00,60.17%,41.00,-37.8136,144.9631,#ea9999
Cancun,Mexico,mx,34.13,34.00,30.50,14.00,6.92,29.00,12.08,6.00,9.75,12.00,8.42,18.00,114.08,101.00,22.41,25.00,50.50%,68.00,21.1619,-86.8515,#ea9999
Dubrovnik,Croatia,hr,35.00,35.00,17.50,11.00,6.25,36.00,12.17,5.00,4.75,51.00,10.67,37.00,107.67,94.00,13.28,4.00,60.00%,42.00,42.6507,18.0944,#ea9999
Byron Bay,Australia,au,35.13,36.00,24.25,43.00,7.50,22.00,12.17,5.00,7.83,26.00,11.17,43.00,152.75,117.00,16.67,12.00,73.67%,13.00,-28.6474,153.602,#ea9999
Ankara,Turkey,tr,35.63,37.00,16.58,73.00,7.83,18.00,12.17,5.00,5.58,42.00,9.00,23.00,34.08,8.00,59.80,94.00,67.25%,22.00,39.9334,32.8597,#ea9999
Madrid,Spain,es,35.88,38.00,20.00,58.00,7.17,26.00,12.17,5.00,5.33,45.00,10.25,33.00,36.67,10.00,46.16,74.00,61.75%,36.00,40.4168,-3.7038,#ea9999
St Barts,Saint Barthélemy,bl,37.00,39.00,30.08,19.00,8.25,13.00,12.17,5.00,10.00,10.00,16.67,82.00,83.33,67.00,32.14,50.00,56.17%,50.00,17.9,-62.8333,#ea9999
Sydney,Australia,au,37.38,40.00,22.08,47.00,7.08,27.00,12.00,7.00,6.92,31.00,11.58,46.00,102.42,88.00,23.30,30.00,66.83%,23.00,-33.8688,151.2093,#ea9999
Vienna,Austria,at,37.38,41.00,14.42,13.00,4.83,50.00,12.25,4.00,3.75,62.00,12.92,56.00,50.00,23.00,19.46,15.00,48.92%,76.00,48.2082,16.3738,#ea9999
Wellington,New Zealand,nz,37.50,42.00,15.75,12.00,5.50,42.00,12.17,5.00,5.50,43.00,13.25,58.00,107.08,92.00,13.92,5.00,59.92%,43.00,-41.2866,174.7756,#ea9999
Miami,USA,us,37.50,43.00,27.67,32.00,8.67,9.00,12.25,4.00,8.92,19.00,10.92,40.00,107.92,95.00,29.27,45.00,53.92%,56.00,25.7617,-80.1918,#f5cbcc
Beijing,China,cn,38.38,44.00,17.75,69.00,7.50,22.00,12.17,5.00,5.17,46.00,5.92,11.00,40.67,13.00,71.74,116.00,65.92%,25.00,39.9042,116.4074,#f5cbcc
Buenos Aires,Argentina,ar,39.25,45.00,22.08,47.00,6.75,31.00,12.00,7.00,6.92,31.00,8.00,17.00,86.33,69.00,45.49,73.00,60.42%,39.00,-34.6037,-58.3816,#f5cbcc
Cairns,Australia,au,39.38,46.00,28.42,27.00,7.17,26.00,12.08,6.00,9.92,11.00,7.92,16.00,182.75,124.00,20.27,16.00,45.42%,89.00,-16.9186,145.7781,#f5cbcc
Cartagena,Colombia,co,40.38,47.00,31.50,8.00,6.67,32.00,12.25,4.00,10.92,2.00,9.17,24.00,87.08,72.00,33.54,54.00,19.08%,127.00,10.391,-75.4794,#f5cbcc
Montego Bay,Jamaica,jm,41.00,48.00,30.33,16.00,7.33,24.00,12.17,5.00,10.17,8.00,10.67,37.00,92.50,79.00,51.67,84.00,49.08%,75.00,18.4762,-77.8939,#f5cbcc
Barcelona,Spain,es,41.25,49.00,19.50,60.00,6.83,30.00,12.25,4.00,5.08,47.00,10.17,32.00,50.67,26.00,61.15,97.00,62.75%,34.00,41.3851,2.1734,#f5cbcc
Nice,France,fr,41.88,50.00,17.58,70.00,7.00,28.00,12.17,5.00,4.42,55.00,7.92,16.00,67.25,48.00,50.00,80.00,62.83%,33.00,43.7102,7.262,#f5cbcc
Nassau,Bahamas,bs,42.25,51.00,27.75,5.00,7.83,18.00,12.42,2.00,8.67,20.00,15.83,79.00,95.00,82.00,44.41,69.00,51.25%,63.00,25.0443,-77.3504,#f5cbcc
Havana,Cuba,cu,42.25,52.00,29.17,24.00,8.17,14.00,12.17,5.00,9.33,15.00,9.92,30.00,109.92,97.00,51.31,83.00,50.17%,70.00,23.1136,-82.3666,#f5cbcc
Rome,Italy,it,42.38,53.00,20.67,55.00,6.92,29.00,12.25,4.00,4.92,49.00,11.00,41.00,67.58,51.00,49.81,79.00,63.25%,31.00,41.9028,12.4964,#f5cbcc
Split,Croatia,hr,42.50,54.00,18.00,66.00,6.67,32.00,12.17,5.00,4.42,55.00,12.17,49.00,86.92,71.00,20.37,17.00,59.33%,45.00,43.5081,16.4402,#f5cbcc
Guadalajara,Mexico,mx,42.63,55.00,27.50,33.00,7.42,23.00,12.08,6.00,10.08,9.00,7.83,15.00,81.25,64.00,54.11,87.00,42.83%,104.00,20.6597,-103.3496,#f5cbcc
New Orleans,USA,us,42.75,56.00,25.42,40.00,7.33,24.00,12.08,6.00,7.92,25.00,9.58,27.00,130.75,110.00,35.33,61.00,56.42%,49.00,29.9511,-90.0715,#f5cbcc
Villefranche-sur-Mer,France,fr,43.00,57.00,17.58,70.00,7.00,28.00,12.17,5.00,4.42,55.00,9.25,25.00,63.67,43.00,48.75,77.00,60.17%,41.00,43.7034,7.3109,#e69138
Punta Cana,Dominican Republic,do,43.63,58.00,30.17,18.00,8.33,12.00,12.17,5.00,10.00,10.00,13.92,62.00,96.08,83.00,59.17,93.00,50.75%,66.00,18.5601,-68.3725,#e69138
Porto,Portugal,pt,44.38,59.00,19.25,62.00,6.92,29.00,12.25,4.00,4.92,49.00,12.25,50.00,103.08,90.00,22.31,24.00,57.75%,47.00,41.1579,-8.6291,#e69138
Bora Bora,French Polynesia,pf,44.38,60.00,29.75,21.00,7.42,23.00,12.08,6.00,10.00,10.00,9.67,28.00,161.17,118.00,33.33,53.00,44.08%,96.00,-16.5004,-151.7415,#e69138
Sorrento,Italy,it,46.38,61.00,19.25,62.00,6.50,33.00,12.17,5.00,5.17,46.00,10.83,39.00,63.50,42.00,71.64,115.00,64.00%,29.00,40.6263,14.3758,#e69138
San Juan,Puerto Rico,pr,46.38,62.00,28.92,25.00,8.17,14.00,12.17,5.00,10.17,8.00,17.67,84.00,149.50,115.00,36.76,63.00,53.67%,57.00,18.4655,-66.1057,#e69138
Boston,USA,us,46.63,63.00,15.08,80.00,7.08,27.00,12.17,5.00,4.67,52.00,10.33,34.00,90.50,76.00,26.03,38.00,52.50%,61.00,42.3601,-71.0589,#e69138
Auckland,New Zealand,nz,46.75,64.00,18.83,63.00,5.58,41.00,12.08,6.00,6.42,35.00,15.00,70.00,100.67,87.00,22.63,28.00,59.75%,44.00,-36.8485,174.7633,#e69138
Mexico City,Mexico,mx,47.00,65.00,24.17,44.00,5.58,41.00,12.17,5.00,10.50,6.00,8.83,21.00,52.92,29.00,81.25,123.00,41.17%,107.00,19.4326,-99.1332,#e69138
Kingston,Jamaica,jm,47.13,66.00,30.83,11.00,6.83,30.00,12.17,5.00,10.17,8.00,10.33,34.00,124.42,105.00,64.77,107.00,48.58%,77.00,17.9712,-76.7936,#e69138
Monaco,Monaco,mc,47.63,67.00,16.58,73.00,6.83,30.00,12.08,6.00,4.42,55.00,8.83,21.00,68.75,53.00,64.39,106.00,61.33%,37.00,43.7384,7.4246,#e69138
Sofia,Bulgaria,bg,48.25,68.00,14.83,82.00,5.42,43.00,12.17,5.00,4.83,50.00,7.92,16.00,54.08,32.00,76.36,118.00,60.25%,40.00,42.6977,23.3219,#e69138
Lake Como,Italy,it,48.38,69.00,16.17,76.00,5.75,39.00,12.33,3.00,4.33,56.00,10.08,31.00,72.17,56.00,45.45,72.00,54.58%,54.00,45.991,9.2572,#e69138
Panama City,Panama,pa,48.63,70.00,29.83,20.00,6.33,35.00,12.08,6.00,10.92,2.00,15.00,70.00,186.08,126.00,48.97,78.00,55.25%,52.00,8.9824,-79.5199,#e69138
Chicago ,USA,us,48.75,71.00,15.00,81.00,6.75,31.00,12.25,4.00,4.92,49.00,10.75,38.00,75.92,59.00,44.81,70.00,53.00%,58.00,41.8781,-87.6298,#f9cb9c
Amalfi Coast,Italy,it,49.00,72.00,20.25,57.00,6.33,35.00,12.17,5.00,5.17,46.00,11.33,44.00,77.00,60.00,71.64,115.00,63.83%,30.00,40.634,14.602,#f9cb9c
Tokyo,Japan,jp,49.00,73.00,19.75,9.00,5.25,45.00,12.08,6.00,6.17,37.00,14.92,69.00,114.08,101.00,38.47,66.00,52.83%,59.00,35.6762,139.6503,#f9cb9c
Naples,Italy,it,49.25,74.00,20.25,57.00,6.33,35.00,12.17,5.00,5.17,46.00,11.33,44.00,77.00,60.00,71.64,115.00,63.08%,32.00,40.8518,14.2681,#f9cb9c
Chiang Mai,Thailand,th,49.75,75.00,30.92,10.00,7.50,22.00,12.17,5.00,10.42,7.00,10.25,33.00,98.50,86.00,81.25,123.00,39.25%,112.00,18.7883,98.9853,#f9cb9c
Busan,South Korea,kr,49.88,76.00,18.58,64.00,6.33,35.00,12.00,7.00,6.33,36.00,8.92,22.00,125.67,106.00,51.14,82.00,57.75%,47.00,35.1796,129.0756,#f9cb9c
Ubud,Indonesia,id,49.88,77.00,30.25,17.00,9.17,6.00,12.25,4.00,10.67,5.00,9.17,24.00,169.50,121.00,63.54,104.00,28.00%,118.00,-8.5069,115.2625,#f9cb9c
Siem Reap,Cambodia,kh,49.88,78.00,32.58,3.00,7.25,25.00,12.17,5.00,10.67,5.00,11.42,45.00,116.92,104.00,54.74,90.00,25.75%,122.00,13.3671,103.8448,#f9cb9c
Bratislava ,Slovakia,sk,50.38,79.00,14.08,87.00,5.00,48.00,12.25,4.00,4.08,58.00,12.00,48.00,50.50,25.00,35.16,60.00,49.50%,73.00,48.1486,17.1077,#f9cb9c
Hamburg,Germany,de,50.63,80.00,12.42,15.00,4.25,56.00,12.42,2.00,3.00,67.00,15.50,76.00,73.17,57.00,25.17,35.00,43.83%,97.00,53.5511,9.9937,#f9cb9c
St Lucia,Saint Lucia,lc,50.75,81.00,29.33,23.00,7.92,17.00,12.08,6.00,10.42,7.00,17.42,83.00,169.58,122.00,32.14,50.00,43.50%,98.00,13.9094,-60.9789,#f9cb9c
Biarritz,France,fr,51.00,82.00,17.83,68.00,5.33,44.00,12.17,5.00,4.58,53.00,15.08,71.00,109.17,96.00,15.32,8.00,51.25%,63.00,43.4832,-1.5586,#f9cb9c
Seoul,South Korea,kr,51.25,83.00,16.42,74.00,6.50,33.00,12.17,5.00,5.75,41.00,8.92,22.00,111.92,99.00,56.78,91.00,59.33%,45.00,37.5665,126.978,#f9cb9c
Bangkok,Thailand,th,51.25,84.00,32.75,2.00,7.08,27.00,12.08,6.00,10.67,5.00,10.17,32.00,116.17,102.00,74.27,117.00,27.58%,119.00,13.7563,100.5018,#f9cb9c
Venice,Italy,it,51.38,85.00,17.17,72.00,5.67,40.00,12.33,3.00,4.33,56.00,10.83,39.00,71.17,55.00,60.19,95.00,55.67%,51.00,45.4408,12.3155,#fce5cd
Rio de Janeiro,Brazil,br,51.38,86.00,26.83,36.00,5.75,39.00,12.17,5.00,9.08,17.00,14.17,65.00,129.42,108.00,53.85,86.00,54.25%,55.00,-22.9068,-43.1729,#fce5cd
New York,USA,us,51.38,87.00,16.33,75.00,7.08,27.00,12.17,5.00,4.92,49.00,9.75,29.00,94.50,81.00,53.22,85.00,52.67%,60.00,40.7128,-74.006,#fce5cd
Budapest,Hungary,hu,51.38,88.00,15.50,78.00,5.33,44.00,12.33,3.00,3.83,61.00,11.17,43.00,44.75,18.00,58.00,92.00,49.92%,72.00,47.4979,19.0402,#fce5cd
Dublin,Ireland,ie,51.50,89.00,13.25,14.00,3.92,59.00,12.42,2.00,3.00,67.00,15.75,78.00,59.33,34.00,33.61,56.00,43.08%,102.00,53.3498,-6.2603,#fce5cd
Boracay,Philippines,ph,51.50,90.00,30.50,14.00,6.67,32.00,12.17,5.00,10.75,4.00,12.83,55.00,242.67,133.00,29.17,44.00,20.67%,125.00,11.9674,121.9248,#fce5cd
Bali,Indonesia,id,51.63,91.00,30.25,17.00,9.17,6.00,12.25,4.00,10.67,5.00,9.17,24.00,169.50,121.00,67.50,110.00,19.17%,126.00,-8.3405,115.092,#fce5cd
Copenhagen,Denmark,dk,52.00,92.00,11.67,104.00,4.58,53.00,12.25,4.00,2.67,68.00,13.75,61.00,51.83,27.00,21.16,18.00,46.75%,81.00,55.6761,12.5683,#fce5cd
Phuket,Thailand,th,52.00,93.00,31.58,7.00,7.00,28.00,12.17,5.00,10.92,2.00,14.33,66.00,201.17,132.00,31.03,48.00,17.92%,128.00,7.8804,98.3923,#fce5cd
Queenstown,New Zealand,nz,52.13,94.00,13.08,95.00,4.92,49.00,12.08,6.00,5.00,48.00,11.33,44.00,93.42,80.00,10.00,2.00,44.42%,93.00,-45.0312,168.6626,#fce5cd
Malé,Maldives,mv,53.38,95.00,30.42,15.00,7.83,18.00,12.00,7.00,11.00,1.00,11.75,47.00,161.50,119.00,62.93,100.00,26.33%,120.00,4.1755,73.5093,#fce5cd
Stockholm,Sweden,se,53.50,96.00,9.83,107.00,4.33,55.00,12.33,3.00,2.25,71.00,13.67,60.00,42.50,15.00,15.10,7.00,40.33%,110.00,59.3293,18.0686,#fce5cd
Hong Kong,China,cn,53.63,97.00,25.42,6.00,5.50,42.00,12.08,6.00,9.67,13.00,12.17,49.00,180.17,123.00,66.40,108.00,46.33%,82.00,22.3193,114.1694,#fce5cd
Prague,Czech Republic,cz,53.63,98.00,13.50,92.00,4.67,52.00,12.25,4.00,3.50,64.00,12.92,56.00,47.75,20.00,33.59,55.00,45.75%,86.00,50.0755,14.4378,#fce5cd
Nairobi,Kenya,ke,53.63,99.00,23.67,46.00,6.67,32.00,12.00,7.00,11.00,1.00,11.17,43.00,88.83,74.00,68.99,113.00,38.08%,113.00,-1.2921,36.8219,#93c47d
Singapore,Malaysia,my,53.63,100.00,30.33,3.00,5.67,40.00,12.00,7.00,11.00,1.00,14.67,68.00,193.25,129.00,33.31,52.00,15.42%,129.00,1.3521,103.8198,#93c47d
Turin,Italy,it,54.25,101.00,16.42,74.00,5.58,41.00,12.25,4.00,4.42,55.00,11.08,42.00,67.33,49.00,79.57,121.00,57.17%,48.00,45.0703,7.6869,#93c47d
Brugge,Belgium,be,54.50,102.00,13.50,92.00,4.50,54.00,12.17,5.00,3.50,64.00,15.58,77.00,65.25,45.00,21.61,20.00,47.58%,79.00,51.2093,3.2247,#93c47d
Colombo,Sri Lanka,lk,54.63,103.00,30.58,13.00,7.00,28.00,12.08,6.00,11.00,1.00,11.58,46.00,200.17,131.00,54.44,89.00,24.75%,123.00,6.9271,79.8612,#93c47d
Bern,Switzerland,ch,54.75,104.00,12.17,101.00,4.75,51.00,12.25,4.00,4.25,57.00,15.00,70.00,79.92,63.00,19.23,14.00,48.00%,78.00,46.948,7.4474,#93c47d
Victoria,Seychelles,sc,54.75,105.00,28.67,26.00,7.08,27.00,12.00,7.00,10.83,3.00,16.50,81.00,188.17,127.00,33.33,53.00,38.00%,114.00,48.4284,-123.3656,#93c47d
Geneva ,Switzerland,ch,54.88,106.00,13.83,90.00,4.75,51.00,12.25,4.00,4.25,57.00,13.75,61.00,82.33,65.00,26.52,40.00,50.00%,71.00,46.2044,6.1432,#93c47d
Seattle,USA,us,54.88,107.00,15.50,78.00,5.83,38.00,12.25,4.00,3.92,60.00,12.42,52.00,82.42,66.00,31.53,49.00,44.67%,92.00,47.6062,-122.3321,#93c47d
Oslo,Norway,no,54.88,108.00,9.25,16.00,3.50,60.00,12.58,1.00,1.25,73.00,19.83,88.00,77.67,61.00,22.83,29.00,40.08%,111.00,59.9139,10.7522,#93c47d
Shanghai,China,cn,55.00,109.00,19.42,61.00,5.50,42.00,12.08,6.00,7.58,28.00,12.75,54.00,102.67,89.00,62.21,98.00,52.17%,62.00,31.2304,121.4737,#93c47d
Tallinn,Estonia,ee,55.00,110.00,8.50,109.00,4.83,50.00,12.33,3.00,2.25,71.00,15.17,72.00,62.92,40.00,15.37,9.00,45.75%,86.00,59.437,24.7536,#93c47d
Helsinki,Finland,fi,55.00,111.00,8.42,110.00,4.50,54.00,12.42,2.00,2.17,72.00,15.33,74.00,54.00,31.00,10.82,3.00,44.25%,94.00,60.1699,24.9384,#93c47d
Bilbao,Spain,es,55.25,112.00,17.92,67.00,4.33,55.00,12.17,5.00,4.58,53.00,15.00,70.00,98.00,85.00,26.85,41.00,50.75%,66.00,43.263,-2.935,#93c47d
Gothenburg,Sweden,se,55.88,113.00,10.58,106.00,4.33,55.00,12.25,4.00,2.33,70.00,12.83,55.00,64.67,44.00,16.67,12.00,43.25%,101.00,57.7089,11.9746,#b7d7a8
Zagreb,Croatia,hr,56.00,114.00,15.33,79.00,5.17,46.00,12.25,4.00,4.25,57.00,13.08,57.00,91.75,78.00,34.37,58.00,50.42%,69.00,45.815,15.9819,#b7d7a8
Toronto,Canada,ca,56.25,115.00,12.25,100.00,5.58,41.00,12.17,5.00,4.33,56.00,10.83,39.00,97.75,84.00,32.23,51.00,49.17%,74.00,43.6532,-79.3832,#b7d7a8
Rotterdam,Netherlands,nl,57.00,116.00,13.25,93.00,3.92,59.00,12.42,2.00,3.08,66.00,14.00,63.00,66.83,46.00,25.76,37.00,44.83%,90.00,51.9244,4.4777,#b7d7a8
Ljubljana,Slovenia,si,57.88,117.00,14.50,84.00,5.25,45.00,12.25,4.00,4.25,57.00,13.50,59.00,113.00,100.00,28.50,42.00,49.92%,72.00,46.0569,14.5058,#b7d7a8
Milan,Italy,it,58.00,118.00,17.17,72.00,5.25,45.00,12.33,3.00,4.33,56.00,12.00,48.00,87.50,73.00,77.20,119.00,57.17%,48.00,45.4642,9.19,#b7d7a8
Montreal,Canada,ca,58.00,119.00,11.08,105.00,5.42,43.00,12.17,5.00,4.00,59.00,13.25,58.00,84.67,68.00,29.67,46.00,47.17%,80.00,45.5017,-73.5673,#b7d7a8
Paris,France,fr,58.00,120.00,14.75,83.00,4.92,49.00,12.25,4.00,3.75,62.00,12.83,55.00,50.42,24.00,63.07,102.00,45.83%,85.00,48.8566,2.3522,#b7d7a8
Amsterdam, Netherlands,nl,58.00,121.00,12.83,97.00,4.17,57.00,12.42,2.00,3.08,66.00,15.50,76.00,67.42,50.00,22.07,21.00,44.17%,95.00,52.3676,4.9041,#b7d7a8
Vancouver,Canada,ca,58.13,122.00,13.92,89.00,5.08,47.00,12.25,4.00,3.50,64.00,12.75,54.00,106.92,91.00,24.25,33.00,46.17%,83.00,49.2827,-123.1207,#b7d7a8
Jakarta,Indonesia,id,58.13,123.00,32.17,5.00,7.42,23.00,12.00,7.00,10.83,3.00,13.25,58.00,184.08,125.00,78.62,120.00,21.00%,124.00,-6.2088,106.8456,#b7d7a8
Munich,Germany,de,58.50,124.00,12.83,97.00,4.67,52.00,12.25,4.00,3.83,61.00,14.50,67.00,69.67,54.00,28.73,43.00,44.83%,90.00,48.1351,11.582,#b7d7a8
Kyoto,Japan,jp,58.88,125.00,17.75,69.00,4.75,51.00,12.00,7.00,6.67,33.00,18.67,87.00,129.25,107.00,34.38,59.00,53.00%,58.00,35.0116,135.7681,#b7d7a8
Zurich,Switzerland,ch,59.13,126.00,12.83,97.00,4.17,57.00,12.25,4.00,4.25,57.00,15.25,73.00,90.58,77.00,22.45,26.00,46.33%,82.00,47.3769,8.5417,#b7d7a8
Manila,Philippines,ph,59.50,127.00,31.58,7.00,6.42,34.00,12.08,6.00,10.67,5.00,12.33,51.00,188.67,128.00,82.45,124.00,26.00%,121.00,14.5995,120.9842,#d9ead3
