CITY,COUNTRY,AVERAGE RANK,OVERALL RANK,AVERAGE HIGHEST TEMP,AVERAGE HIGHEST TEMP RANK,AVG. DAILY HOURS OF SUNSHINE,AVG. DAILY HOURS OF SUNSHINE RANK,AVG. DAILY HOURS OF DAYLIGHT,AVG. DAILY HOURS OF DAYLIGHT RANK,AVERAGE UV ACROSS YEAR,AVERAGE UV ACROSS YEAR RANK,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR RANK,AVG. MONTHLY RAINFALL ACROSS YEAR,AVG. MONTHLY RAINFALL ACROSS YEAR RANK,AIR POLLUTION SCORE,AIR POLLUTION SCORE RANK,% OF CLEAR SKIES ACROSS THE YEAR,% OF CLEAR SKIES ACROSS THE YEAR RANK
Budapest,Hungary,22.38,76.00,27.00,12.00,8.00,6.00,14.00,4.00,6.00,6.00,11.00,12.00,49.00,22.00,58.00,89.00,66.00%,28.00
Berlin,Germany,22.38,77.00,23.00,16.00,7.00,7.00,15.00,3.00,5.00,7.00,14.00,15.00,63.00,31.00,35.90,61.00,54.00%,39.00
Wellington,New Zealand,22.50,78.00,12.00,26.00,4.00,10.00,11.00,7.00,2.00,10.00,18.00,19.00,136.00,69.00,13.92,5.00,59.00%,34.00
Zurich,Switzerland,22.63,79.00,22.00,17.00,6.00,8.00,14.00,4.00,7.00,5.00,17.00,18.00,134.00,68.00,22.45,26.00,58.00%,35.00
Salzburg,Austria,22.75,80.00,22.00,17.00,6.00,8.00,14.00,4.00,7.00,5.00,17.00,18.00,157.00,77.00,18.06,15.00,55.00%,38.00
Sofia,Bulgaria,22.88,81.00,26.00,13.00,9.00,5.00,14.00,4.00,8.00,4.00,6.00,7.00,51.00,24.00,76.59,115.00,84.00%,11.00
Chicago ,USA,22.88,82.00,28.00,11.00,9.00,5.00,14.00,4.00,8.00,4.00,9.00,10.00,97.00,54.00,44.81,68.00,67.00%,27.00
Ljubljana,Slovenia,23.00,83.00,25.00,14.00,8.00,6.00,14.00,4.00,7.00,5.00,14.00,15.00,139.00,70.00,28.50,43.00,67.00%,27.00
Tulum,Mexico,23.00,84.00,33.00,6.00,7.00,7.00,13.00,5.00,11.00,1.00,13.00,14.00,145.00,73.00,21.43,22.00,23.00%,56.00
Rio de Janeiro,Brazil,23.50,85.00,25.00,14.00,6.00,8.00,11.00,7.00,7.00,5.00,9.00,10.00,76.00,41.00,53.11,82.00,73.00%,21.00
Cancun,Mexico,23.50,86.00,33.00,6.00,7.00,7.00,13.00,5.00,11.00,1.00,13.00,14.00,148.00,75.00,22.41,25.00,25.00%,55.00
Dublin,Ireland,23.63,87.00,19.00,20.00,5.00,9.00,15.00,3.00,5.00,7.00,16.00,17.00,71.00,38.00,33.61,53.00,50.00%,42.00
St Barts,Saint Barthélemy,23.75,88.00,31.00,8.00,9.00,5.00,13.00,5.00,11.00,1.00,19.00,20.00,100.00,55.00,32.14,50.00,46.00%,46.00
Auckland,New Zealand,24.13,89.00,15.00,23.00,5.00,9.00,11.00,7.00,3.00,9.00,19.00,20.00,124.00,63.00,22.63,28.00,59.00%,34.00
Ubud,Indonesia,24.13,90.00,29.00,10.00,10.00,4.00,12.00,6.00,11.00,1.00,1.00,2.00,53.00,26.00,63.54,99.00,47.00%,45.00
Lake Como,Italy,24.38,91.00,27.00,12.00,8.00,6.00,14.00,4.00,7.00,5.00,12.00,13.00,95.00,52.00,45.45,71.00,62.00%,32.00
Buenos Aires,Argentina,24.38,92.00,17.00,22.00,6.00,8.00,11.00,7.00,4.00,8.00,7.00,8.00,67.00,34.00,45.08,70.00,55.00%,38.00
Venice,Italy,25.00,93.00,27.00,12.00,8.00,6.00,14.00,4.00,7.00,5.00,11.00,12.00,83.00,46.00,60.19,92.00,71.00%,23.00
New York,USA,25.38,94.00,28.00,11.00,9.00,5.00,14.00,4.00,8.00,4.00,9.00,10.00,100.00,55.00,53.22,83.00,63.00%,31.00
Victoria,Seychelles,25.50,95.00,27.00,12.00,8.00,6.00,12.00,6.00,11.00,1.00,17.00,18.00,117.00,60.00,33.33,52.00,41.00%,49.00
Paris,France,25.88,96.00,23.00,16.00,7.00,7.00,14.00,4.00,6.00,6.00,12.00,13.00,51.00,24.00,65.77,103.00,59.00%,34.00
Nairobi,Kenya,25.88,97.00,21.00,18.00,4.00,10.00,12.00,6.00,11.00,1.00,7.00,8.00,27.00,14.00,68.99,109.00,52.00%,41.00
Kyoto,Japan,25.88,98.00,30.00,9.00,6.00,8.00,13.00,5.00,10.00,2.00,17.00,18.00,126.00,65.00,34.38,56.00,48.00%,44.00
Miami,USA,25.88,99.00,31.00,8.00,9.00,5.00,13.00,5.00,11.00,1.00,18.00,19.00,144.00,72.00,29.27,45.00,35.00%,52.00
New Orleans,USA,26.13,100.00,32.00,7.00,8.00,6.00,13.00,5.00,10.00,2.00,14.00,15.00,163.00,78.00,35.33,60.00,57.00%,36.00
Sarajevo,Bosnia and Herzegovina,26.50,101.00,24.00,15.00,8.00,6.00,14.00,4.00,8.00,4.00,10.00,11.00,75.00,40.00,73.83,113.00,75.00%,19.00
Cape Town,South Africa,26.50,102.00,17.00,22.00,7.00,7.00,11.00,7.00,4.00,8.00,14.00,15.00,163.00,78.00,30.84,47.00,66.00%,28.00
London,United Kingdom,26.50,103.00,22.00,17.00,6.00,8.00,15.00,3.00,5.00,7.00,12.00,13.00,56.00,27.00,63.02,98.00,54.00%,39.00
Brussels,Belgium,26.88,104.00,23.00,16.00,7.00,7.00,14.00,4.00,6.00,6.00,16.00,17.00,63.00,31.00,63.00,97.00,56.00%,37.00
Nadi,Fiji,27.00,105.00,26.00,13.00,5.00,9.00,12.00,6.00,9.00,3.00,19.00,20.00,103.00,57.00,50.00,78.00,64.00%,30.00
Bali,Indonesia,27.13,106.00,29.00,10.00,10.00,4.00,12.00,6.00,11.00,1.00,1.00,2.00,53.00,26.00,67.50,107.00,10.00%,61.00
Turin,Italy,27.38,107.00,26.00,13.00,7.00,7.00,14.00,4.00,7.00,5.00,12.00,13.00,68.00,35.00,79.57,118.00,70.00%,24.00
Cartagena,Colombia,27.50,108.00,32.00,7.00,6.00,8.00,12.00,6.00,11.00,1.00,14.00,15.00,130.00,66.00,33.33,52.00,6.00%,65.00
Montego Bay,Jamaica,27.63,109.00,32.00,7.00,8.00,6.00,13.00,5.00,11.00,1.00,13.00,14.00,95.00,52.00,51.67,81.00,25.00%,55.00
Warsaw,Poland,27.75,110.00,23.00,16.00,6.00,8.00,15.00,3.00,6.00,6.00,13.00,14.00,60.00,28.00,69.80,110.00,56.00%,37.00
Tokyo,Japan,27.88,111.00,31.00,8.00,6.00,8.00,13.00,5.00,10.00,2.00,16.00,17.00,147.00,74.00,38.47,65.00,48.00%,44.00
St Lucia,Saint Lucia,28.38,112.00,30.00,9.00,8.00,6.00,13.00,5.00,11.00,1.00,20.00,21.00,216.00,86.00,32.14,50.00,41.00%,49.00
Singapore,Malaysia,28.50,113.00,30.00,9.00,6.00,8.00,12.00,6.00,11.00,1.00,14.00,15.00,166.00,79.00,33.31,51.00,14.00%,59.00
Milan,Italy,28.63,114.00,28.00,11.00,8.00,6.00,14.00,4.00,7.00,5.00,12.00,13.00,94.00,51.00,77.20,116.00,71.00%,23.00
Punta Cana,Dominican Republic,29.38,115.00,32.00,7.00,9.00,5.00,13.00,5.00,11.00,1.00,16.00,17.00,101.00,56.00,60.00,91.00,33.00%,53.00
San Juan,Puerto Rico,29.63,116.00,30.00,9.00,9.00,5.00,13.00,5.00,11.00,1.00,20.00,21.00,195.00,82.00,36.76,63.00,37.00%,51.00
Jakarta,Indonesia,29.75,117.00,33.00,6.00,9.00,5.00,12.00,6.00,11.00,1.00,8.00,9.00,77.00,42.00,78.62,117.00,35.00%,52.00
Havana,Cuba,29.88,118.00,32.00,7.00,8.00,6.00,13.00,5.00,11.00,1.00,11.00,12.00,157.00,77.00,50.00,78.00,33.00%,53.00
Colombo,Sri Lanka,30.00,119.00,30.00,9.00,6.00,8.00,12.00,6.00,11.00,1.00,11.00,12.00,116.00,59.00,54.44,86.00,14.00%,59.00
Boracay,Philippines,30.50,120.00,31.00,8.00,6.00,8.00,13.00,5.00,11.00,1.00,19.00,20.00,460.00,95.00,29.17,44.00,8.00%,63.00
Phuket,Thailand,30.50,121.00,31.00,8.00,6.00,8.00,12.00,6.00,11.00,1.00,19.00,20.00,265.00,90.00,31.03,48.00,8.00%,63.00
Nassau,Bahamas,30.63,122.00,32.00,7.00,9.00,5.00,13.00,5.00,11.00,1.00,23.00,24.00,168.00,80.00,47.12,73.00,39.00%,50.00
Busan,South Korea,30.75,123.00,29.00,10.00,7.00,7.00,13.00,5.00,10.00,2.00,12.00,13.00,210.00,85.00,51.14,80.00,48.00%,44.00
Beijing,China,31.00,124.00,30.00,9.00,8.00,6.00,14.00,4.00,8.00,4.00,12.00,13.00,143.00,71.00,73.03,112.00,65.00%,29.00
Taipei,Taiwan,31.25,125.00,32.00,7.00,7.00,7.00,13.00,5.00,11.00,1.00,17.00,18.00,202.00,83.00,47.57,75.00,28.00%,54.00
Shanghai,China,31.38,126.00,31.00,8.00,8.00,6.00,13.00,5.00,11.00,1.00,11.00,12.00,136.00,69.00,66.83,104.00,46.00%,46.00
Krakow,Poland,31.63,127.00,23.00,16.00,6.00,8.00,15.00,3.00,6.00,6.00,13.00,14.00,88.00,48.00,85.19,124.00,59.00%,34.00
Chamonix,France,32.00,128.00,10.00,27.00,7.00,7.00,14.00,4.00,8.00,4.00,15.00,16.00,152.00,76.00,61.96,94.00,66.00%,28.00
Seoul,South Korea,32.25,129.00,29.00,10.00,6.00,8.00,14.00,4.00,9.00,3.00,13.00,14.00,288.00,91.00,56.78,87.00,52.00%,41.00
Panama City,Panama,32.75,130.00,29.00,10.00,5.00,9.00,13.00,5.00,11.00,1.00,22.00,23.00,265.00,90.00,48.97,76.00,44.00%,48.00
Kingston,Jamaica,33.63,131.00,32.00,7.00,7.00,7.00,13.00,5.00,11.00,1.00,13.00,14.00,157.00,77.00,64.77,102.00,23.00%,56.00
Guadalajara,Mexico,34.13,132.00,27.00,12.00,7.00,7.00,13.00,5.00,11.00,1.00,18.00,19.00,220.00,87.00,54.11,84.00,15.00%,58.00
Malé,Maldives,34.25,133.00,30.00,9.00,7.00,7.00,12.00,6.00,11.00,1.00,14.00,15.00,183.00,81.00,62.93,96.00,14.00%,59.00
Siem Reap,Cambodia,35.00,134.00,32.00,7.00,5.00,9.00,13.00,5.00,11.00,1.00,18.00,19.00,224.00,88.00,57.50,88.00,8.00%,63.00
Mexico City,Mexico,36.63,135.00,24.00,15.00,5.00,9.00,13.00,5.00,11.00,1.00,19.00,20.00,125.00,64.00,81.25,120.00,14.00%,59.00
Hong Kong,China,36.75,136.00,31.00,8.00,7.00,7.00,13.00,5.00,11.00,1.00,17.00,18.00,377.00,93.00,66.98,105.00,20.00%,57.00
Bangkok,Thailand,37.75,137.00,32.00,7.00,5.00,9.00,13.00,5.00,11.00,1.00,19.00,20.00,207.00,84.00,74.27,114.00,9.00%,62.00
Hanoi,Vietnam,39.25,138.00,32.00,7.00,6.00,8.00,13.00,5.00,11.00,1.00,17.00,18.00,297.00,92.00,84.93,123.00,12.00%,60.00
Chiang Mai,Thailand,39.75,139.00,30.00,9.00,5.00,9.00,13.00,5.00,11.00,1.00,21.00,22.00,226.00,89.00,81.25,120.00,8.00%,63.00
Manila,Philippines,40.63,140.00,31.00,8.00,5.00,9.00,13.00,5.00,11.00,1.00,22.00,23.00,426.00,94.00,82.45,121.00,7.00%,64.00
