CITY,COUNTRY,AVERAGE RANK,OVERALL RANK,AVERAGE HIGHEST TEMP,AVERAGE HIGHEST TEMP RANK,AVG. DAILY HOURS OF SUNSHINE,AVG. DAILY HOURS OF SUNSHINE RANK,AVG. DAILY HOURS OF DAYLIGHT,AVG. DAILY HOURS OF DAYLIGHT RANK,AVERAGE UV ACROSS YEAR,AVERAGE UV ACROSS YEAR RANK,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR RANK,AVG. MONTHLY RAINFALL ACROSS YEAR,AVG. MONTHLY RAINFALL ACROSS YEAR RANK,AIR POLLUTION SCORE,AIR POLLUTION SCORE RANK,% OF CLEAR SKIES ACROSS THE YEAR,% OF CLEAR SKIES ACROSS THE YEAR RANK
Sunshine Coast,Australia,20.38,61.00,23.00,13.00,6.00,7.00,11.00,8.00,5.00,7.00,11.00,12.00,160.00,83.00,22.12,23.00,70.00%,10.00
Berlin,Germany,20.38,62.00,19.00,17.00,7.00,6.00,16.00,3.00,5.00,7.00,14.00,15.00,55.00,29.00,35.90,61.00,51.00%,25.00
Montreal,Canada,20.50,63.00,19.00,17.00,7.00,6.00,15.00,4.00,6.00,6.00,13.00,14.00,80.00,42.00,30.43,46.00,47.00%,29.00
Queenstown,New Zealand,20.50,64.00,9.00,23.00,3.00,10.00,9.00,10.00,2.00,10.00,13.00,14.00,100.00,55.00,10.00,3.00,36.00%,39.00
Dublin,Ireland,20.75,65.00,15.00,21.00,6.00,7.00,16.00,3.00,5.00,7.00,16.00,17.00,55.00,29.00,33.61,53.00,47.00%,29.00
Bilbao,Spain,21.00,66.00,19.00,17.00,5.00,8.00,15.00,4.00,7.00,5.00,16.00,17.00,90.00,48.00,26.85,42.00,49.00%,27.00
Geneva ,Switzerland,21.13,67.00,18.00,18.00,6.00,7.00,15.00,4.00,7.00,5.00,16.00,17.00,86.00,46.00,26.52,41.00,45.00%,31.00
Munich,Germany,21.13,68.00,18.00,18.00,6.00,7.00,15.00,4.00,6.00,6.00,17.00,18.00,92.00,50.00,24.38,33.00,43.00%,33.00
Lagos,Portugal,21.25,69.00,31.00,6.00,6.00,7.00,12.00,7.00,11.00,1.00,13.00,14.00,222.00,94.00,23.53,31.00,70.00%,10.00
Prague,Czech Republic,21.25,70.00,19.00,17.00,7.00,6.00,15.00,4.00,6.00,6.00,13.00,14.00,66.00,37.00,35.00,58.00,48.00%,28.00
Beijing,China,21.38,71.00,27.00,10.00,9.00,4.00,14.00,5.00,8.00,4.00,6.00,7.00,29.00,13.00,73.03,112.00,61.00%,16.00
Salzburg,Austria,21.38,72.00,18.00,18.00,6.00,7.00,15.00,4.00,7.00,5.00,16.00,17.00,126.00,71.00,18.06,15.00,42.00%,34.00
Auckland,New Zealand,21.50,73.00,17.00,19.00,5.00,8.00,10.00,9.00,3.00,9.00,17.00,18.00,111.00,62.00,22.63,28.00,58.00%,19.00
Ankara,Turkey,21.63,74.00,21.00,15.00,9.00,4.00,14.00,5.00,8.00,4.00,13.00,14.00,55.00,29.00,59.80,90.00,67.00%,12.00
Austin,USA,21.63,75.00,29.00,8.00,7.00,6.00,14.00,5.00,10.00,2.00,9.00,10.00,114.00,64.00,37.40,64.00,65.00%,14.00
Nice,France,21.63,76.00,19.00,17.00,8.00,5.00,15.00,4.00,7.00,5.00,9.00,10.00,61.00,33.00,50.00,78.00,56.00%,21.00
New Orleans,USA,21.75,77.00,29.00,8.00,9.00,4.00,14.00,5.00,10.00,2.00,8.00,9.00,122.00,68.00,35.33,60.00,59.00%,18.00
Zurich,Switzerland,21.75,78.00,18.00,18.00,6.00,7.00,15.00,4.00,7.00,5.00,18.00,19.00,110.00,61.00,22.45,26.00,42.00%,34.00
St Barts,Saint Barthélemy,21.75,79.00,30.00,7.00,8.00,5.00,13.00,6.00,11.00,1.00,15.00,16.00,95.00,53.00,32.14,50.00,39.00%,36.00
Villefranche-sur-Mer,France,21.88,80.00,19.00,17.00,8.00,5.00,15.00,4.00,7.00,5.00,11.00,12.00,61.00,33.00,50.00,78.00,56.00%,21.00
Miami,USA,22.13,81.00,29.00,8.00,10.00,3.00,13.00,6.00,11.00,1.00,11.00,12.00,150.00,81.00,29.27,45.00,56.00%,21.00
Chicago ,USA,22.25,82.00,21.00,15.00,9.00,4.00,15.00,4.00,7.00,5.00,11.00,12.00,84.00,44.00,44.81,68.00,50.00%,26.00
Zagreb,Croatia,22.50,83.00,21.00,15.00,7.00,6.00,15.00,4.00,7.00,5.00,15.00,16.00,94.00,52.00,34.43,57.00,51.00%,25.00
Barcelona,Spain,22.75,84.00,20.00,16.00,8.00,5.00,15.00,4.00,7.00,5.00,11.00,12.00,52.00,27.00,61.15,93.00,57.00%,20.00
Sorrento,Italy,23.00,85.00,21.00,15.00,8.00,5.00,14.00,5.00,8.00,4.00,10.00,11.00,38.00,18.00,71.64,111.00,63.00%,15.00
Lake Como,Italy,23.13,86.00,21.00,15.00,7.00,6.00,15.00,4.00,7.00,5.00,13.00,14.00,88.00,47.00,45.45,71.00,53.00%,23.00
Budapest,Hungary,23.13,87.00,22.00,14.00,8.00,5.00,15.00,4.00,6.00,6.00,12.00,13.00,56.00,30.00,58.00,89.00,52.00%,24.00
Ljubljana,Slovenia,23.13,88.00,20.00,16.00,7.00,6.00,15.00,4.00,7.00,5.00,16.00,17.00,116.00,66.00,28.50,43.00,48.00%,28.00
Buenos Aires,Argentina,23.25,89.00,19.00,17.00,5.00,8.00,10.00,9.00,3.00,9.00,7.00,8.00,76.00,41.00,45.08,70.00,52.00%,24.00
Amalfi Coast,Italy,23.50,90.00,23.00,13.00,8.00,5.00,14.00,5.00,8.00,4.00,10.00,11.00,47.00,24.00,71.64,111.00,63.00%,15.00
Cartagena,Colombia,23.75,91.00,32.00,5.00,6.00,7.00,13.00,6.00,11.00,1.00,10.00,11.00,102.00,56.00,33.33,52.00,7.00%,52.00
Bora Bora,French Polynesia,23.88,92.00,30.00,7.00,7.00,6.00,11.00,8.00,8.00,4.00,10.00,11.00,133.00,75.00,33.33,52.00,48.00%,28.00
Naples,Italy,24.00,93.00,23.00,13.00,8.00,5.00,14.00,5.00,8.00,4.00,10.00,11.00,47.00,24.00,71.64,111.00,58.00%,19.00
Seoul,South Korea,24.13,94.00,23.00,13.00,8.00,5.00,14.00,5.00,8.00,4.00,8.00,9.00,90.00,48.00,56.78,87.00,55.00%,22.00
St Lucia,Saint Lucia,24.25,95.00,30.00,7.00,8.00,5.00,13.00,6.00,11.00,1.00,15.00,16.00,124.00,69.00,32.14,50.00,35.00%,40.00
Rio de Janeiro,Brazil,24.50,96.00,26.00,11.00,6.00,7.00,11.00,8.00,7.00,5.00,12.00,13.00,107.00,58.00,53.11,82.00,67.00%,12.00
Cape Town,South Africa,24.63,97.00,19.00,17.00,6.00,7.00,10.00,9.00,4.00,8.00,12.00,13.00,136.00,76.00,30.84,47.00,57.00%,20.00
Nassau,Bahamas,24.63,98.00,29.00,8.00,9.00,4.00,13.00,6.00,11.00,1.00,14.00,15.00,117.00,67.00,47.12,73.00,53.00%,23.00
Venice,Italy,24.88,99.00,21.00,15.00,7.00,6.00,15.00,4.00,7.00,5.00,13.00,14.00,71.00,39.00,60.19,92.00,52.00%,24.00
Monaco,Monaco,25.13,100.00,18.00,18.00,8.00,5.00,15.00,4.00,7.00,5.00,10.00,11.00,65.00,36.00,64.39,101.00,56.00%,21.00
Havana,Cuba,25.25,101.00,30.00,7.00,9.00,4.00,13.00,6.00,11.00,1.00,9.00,10.00,130.00,72.00,50.00,78.00,52.00%,24.00
Montego Bay,Jamaica,25.38,102.00,30.00,7.00,7.00,6.00,13.00,6.00,11.00,1.00,12.00,13.00,100.00,55.00,51.67,81.00,42.00%,34.00
London,United Kingdom,25.50,103.00,17.00,19.00,6.00,7.00,16.00,3.00,5.00,7.00,13.00,14.00,51.00,26.00,63.02,98.00,46.00%,30.00
Victoria,Seychelles,25.50,104.00,29.00,8.00,8.00,5.00,12.00,7.00,11.00,1.00,15.00,16.00,133.00,75.00,33.33,52.00,35.00%,40.00
New York,USA,26.00,105.00,21.00,15.00,8.00,5.00,14.00,5.00,7.00,5.00,11.00,12.00,103.00,57.00,53.22,83.00,50.00%,26.00
Mexico City,Mexico,26.25,106.00,27.00,10.00,6.00,7.00,13.00,6.00,11.00,1.00,10.00,11.00,52.00,27.00,81.25,120.00,48.00%,28.00
Boracay,Philippines,26.38,107.00,32.00,5.00,8.00,5.00,13.00,6.00,11.00,1.00,10.00,11.00,191.00,91.00,29.17,44.00,14.00%,48.00
Warsaw,Poland,26.50,108.00,19.00,17.00,6.00,7.00,15.00,4.00,6.00,6.00,14.00,15.00,53.00,28.00,69.80,110.00,51.00%,25.00
Kyoto,Japan,26.50,109.00,22.00,14.00,6.00,7.00,14.00,5.00,9.00,3.00,15.00,16.00,142.00,79.00,34.38,56.00,44.00%,32.00
Brussels,Belgium,26.63,110.00,18.00,18.00,7.00,6.00,16.00,3.00,6.00,6.00,15.00,16.00,69.00,38.00,63.00,97.00,47.00%,29.00
Paris,France,27.13,111.00,18.00,18.00,7.00,6.00,15.00,4.00,6.00,6.00,15.00,16.00,62.00,34.00,65.77,103.00,46.00%,30.00
Tokyo,Japan,27.25,112.00,23.00,13.00,6.00,7.00,14.00,5.00,9.00,3.00,16.00,17.00,132.00,74.00,38.47,65.00,42.00%,34.00
Sofia,Bulgaria,27.63,113.00,20.00,16.00,7.00,6.00,15.00,4.00,7.00,5.00,11.00,12.00,81.00,43.00,76.59,115.00,57.00%,20.00
Singapore,Malaysia,27.75,114.00,31.00,6.00,6.00,7.00,12.00,7.00,11.00,1.00,14.00,15.00,176.00,86.00,33.31,51.00,13.00%,49.00
Busan,South Korea,28.00,115.00,22.00,14.00,7.00,6.00,14.00,5.00,9.00,3.00,10.00,11.00,142.00,79.00,51.14,80.00,50.00%,26.00
Ubud,Indonesia,28.13,116.00,30.00,7.00,10.00,3.00,12.00,7.00,10.00,2.00,7.00,8.00,107.00,58.00,63.54,99.00,34.00%,41.00
San Juan,Puerto Rico,28.25,117.00,29.00,8.00,8.00,5.00,13.00,6.00,11.00,1.00,16.00,17.00,182.00,88.00,36.76,63.00,37.00%,38.00
Panama City,Panama,28.50,118.00,31.00,6.00,8.00,5.00,13.00,6.00,11.00,1.00,18.00,19.00,263.00,96.00,48.97,76.00,58.00%,19.00
Punta Cana,Dominican Republic,29.25,119.00,30.00,7.00,8.00,5.00,13.00,6.00,11.00,1.00,13.00,14.00,131.00,73.00,60.00,91.00,38.00%,37.00
Sarajevo,Bosnia and Herzegovina,29.75,120.00,18.00,18.00,6.00,7.00,15.00,4.00,7.00,5.00,14.00,15.00,91.00,49.00,73.83,113.00,49.00%,27.00
Nadi,Fiji,29.88,121.00,28.00,9.00,6.00,7.00,11.00,8.00,8.00,4.00,19.00,20.00,142.00,79.00,50.00,78.00,42.00%,34.00
Phuket,Thailand,29.88,122.00,32.00,5.00,6.00,7.00,12.00,7.00,11.00,1.00,21.00,21.00,334.00,98.00,31.03,48.00,7.00%,52.00
Bali,Indonesia,30.25,123.00,30.00,7.00,10.00,3.00,12.00,7.00,10.00,2.00,7.00,8.00,107.00,58.00,67.50,107.00,11.00%,50.00
Krakow,Poland,30.38,124.00,19.00,17.00,6.00,7.00,15.00,4.00,6.00,6.00,14.00,15.00,81.00,43.00,85.19,124.00,49.00%,27.00
Shanghai,China,30.38,125.00,23.00,13.00,6.00,7.00,14.00,5.00,10.00,2.00,15.00,16.00,115.00,65.00,66.83,104.00,45.00%,31.00
Milan,Italy,30.63,126.00,22.00,14.00,7.00,6.00,15.00,4.00,7.00,5.00,15.00,16.00,108.00,59.00,77.20,116.00,51.00%,25.00
Turin,Italy,31.00,127.00,20.00,16.00,6.00,7.00,15.00,4.00,7.00,5.00,16.00,17.00,99.00,54.00,79.57,118.00,49.00%,27.00
Kingston,Jamaica,31.25,128.00,31.00,6.00,7.00,6.00,13.00,6.00,11.00,1.00,11.00,12.00,158.00,82.00,64.77,102.00,40.00%,35.00
Siem Reap,Cambodia,31.25,129.00,34.00,3.00,7.00,6.00,13.00,6.00,11.00,1.00,15.00,16.00,146.00,80.00,57.50,88.00,11.00%,50.00
Taipei,Taiwan,32.13,130.00,27.00,10.00,4.00,9.00,13.00,6.00,11.00,1.00,21.00,21.00,215.00,93.00,47.57,75.00,33.00%,42.00
Chamonix,France,33.13,131.00,4.00,25.00,6.00,7.00,15.00,4.00,7.00,5.00,19.00,20.00,138.00,77.00,61.96,94.00,43.00%,33.00
Colombo,Sri Lanka,33.50,132.00,31.00,6.00,6.00,7.00,12.00,7.00,11.00,1.00,14.00,15.00,382.00,99.00,54.44,86.00,16.00%,47.00
Malé,Maldives,33.63,133.00,31.00,6.00,8.00,5.00,12.00,7.00,11.00,1.00,15.00,16.00,211.00,92.00,62.93,96.00,18.00%,46.00
Manila,Philippines,34.50,134.00,34.00,3.00,7.00,6.00,13.00,6.00,11.00,1.00,11.00,12.00,140.00,78.00,82.45,121.00,13.00%,49.00
Jakarta,Indonesia,34.88,135.00,33.00,4.00,8.00,5.00,12.00,7.00,11.00,1.00,14.00,15.00,173.00,85.00,78.62,117.00,22.00%,45.00
Chiang Mai,Thailand,35.38,136.00,33.00,4.00,8.00,5.00,13.00,6.00,11.00,1.00,16.00,17.00,165.00,84.00,81.25,120.00,18.00%,46.00
Nairobi,Kenya,35.50,137.00,23.00,13.00,6.00,7.00,12.00,7.00,11.00,1.00,18.00,19.00,186.00,89.00,68.99,109.00,36.00%,39.00
Hong Kong,China,35.63,138.00,28.00,9.00,5.00,8.00,13.00,6.00,11.00,1.00,15.00,16.00,298.00,97.00,66.98,105.00,26.00%,43.00
Bangkok,Thailand,35.63,139.00,34.00,3.00,7.00,6.00,13.00,6.00,11.00,1.00,15.00,16.00,182.00,88.00,74.27,114.00,10.00%,51.00
Hanoi,Vietnam,36.13,140.00,32.00,5.00,6.00,7.00,13.00,6.00,11.00,1.00,15.00,16.00,181.00,87.00,84.93,123.00,24.00%,44.00
