CITY,COUNTRY,AVERAGE RANK,OVERALL RANK,AVERAGE HIGHEST TEMP,AVERAGE HIGHEST TEMP RANK,AVG. DAILY HOURS OF SUNSHINE,AVG. DAILY HOURS OF SUNSHINE RANK,AVG. DAILY HOURS OF DAYLIGHT,AVG. DAILY HOURS OF DAYLIGHT RANK,AVERAGE UV ACROSS YEAR,AVERAGE UV ACROSS YEAR RANK,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR RANK,AVG. MONTHLY RAINFALL ACROSS YEAR,AVG. MONTHLY RAINFALL ACROSS YEAR RANK,AIR POLLUTION SCORE,AIR POLLUTION SCORE RANK,% OF CLEAR SKIES ACROSS THE YEAR,% OF CLEAR SKIES ACROSS THE YEAR RANK
Boston,USA,18.00,48.00,23.00,14.00,8.00,4.00,12.00,2.00,6.00,6.00,8.00,9.00,82.00,43.00,26.03,39.00,59.00%,27.00
Bratislava ,Slovakia,18.75,51.00,21.00,16.00,6.00,6.00,13.00,1.00,5.00,7.00,9.00,10.00,44.00,21.00,35.16,59.00,56.00%,30.00
Brisbane,Australia,11.00,9.00,24.00,13.00,9.00,3.00,12.00,2.00,8.00,4.00,6.00,7.00,33.00,15.00,26.22,40.00,87.00%,4.00
Bruges,Belgium,16.50,34.00,18.00,19.00,5.00,7.00,13.00,1.00,4.00,8.00,15.00,16.00,66.00,33.00,17.50,14.00,51.00%,34.00
Brussels,Belgium,26.25,106.00,20.00,17.00,6.00,6.00,13.00,1.00,4.00,8.00,16.00,17.00,60.00,29.00,63.00,97.00,50.00%,35.00
Budapest,Hungary,21.63,79.00,23.00,14.00,7.00,5.00,13.00,1.00,4.00,8.00,9.00,10.00,39.00,17.00,58.00,89.00,57.00%,29.00
Buenos Aires,Argentina,21.50,77.00,19.00,18.00,6.00,6.00,12.00,2.00,6.00,6.00,7.00,8.00,69.00,35.00,45.08,70.00,59.00%,27.00
Busan,South Korea,27.13,111.00,26.00,11.00,6.00,6.00,12.00,2.00,8.00,4.00,11.00,12.00,182.00,72.00,51.14,80.00,56.00%,30.00
Byron Bay,Australia,10.38,7.00,23.00,14.00,9.00,3.00,12.00,2.00,7.00,5.00,8.00,9.00,62.00,30.00,16.67,13.00,84.00%,7.00
Cairns,Australia,10.00,6.00,27.00,10.00,8.00,4.00,12.00,2.00,11.00,1.00,3.00,4.00,39.00,17.00,20.27,19.00,63.00%,23.00
Cairo ,Egypt,17.00,39.00,33.00,4.00,10.00,2.00,12.00,2.00,9.00,3.00,0.00,1.00,0.00,1.00,83.14,122.00,98.00%,1.00
Cancun,Mexico,23.13,88.00,32.00,5.00,6.00,6.00,12.00,2.00,11.00,1.00,14.00,15.00,229.00,80.00,22.41,25.00,24.00%,51.00
Cape Town,South Africa,20.88,73.00,18.00,19.00,7.00,5.00,12.00,2.00,6.00,6.00,11.00,12.00,96.00,51.00,30.84,47.00,61.00%,25.00
Cartagena,Colombia,25.75,103.00,32.00,5.00,6.00,6.00,12.00,2.00,11.00,1.00,14.00,15.00,140.00,63.00,33.33,52.00,5.00%,62.00
Chamonix,France,30.13,129.00,8.00,27.00,6.00,6.00,13.00,1.00,5.00,7.00,13.00,14.00,129.00,61.00,61.96,94.00,55.00%,31.00
Chiang Mai,Thailand,36.00,138.00,30.00,7.00,6.00,6.00,12.00,2.00,11.00,1.00,18.00,19.00,224.00,77.00,81.25,120.00,15.00%,56.00
Chicago ,USA,21.00,74.00,24.00,13.00,8.00,4.00,12.00,2.00,6.00,6.00,9.00,10.00,87.00,45.00,44.81,68.00,66.00%,20.00
Colombo,Sri Lanka,31.63,131.00,30.00,7.00,6.00,6.00,12.00,2.00,11.00,1.00,14.00,15.00,236.00,81.00,54.44,86.00,19.00%,55.00
Copenhagen,Denmark,16.63,35.00,17.00,20.00,5.00,7.00,13.00,1.00,3.00,9.00,14.00,15.00,62.00,30.00,18.80,16.00,50.00%,35.00
Crete,Greece,5.88,1.00,25.00,12.00,10.00,2.00,12.00,2.00,8.00,4.00,1.00,2.00,23.00,11.00,15.79,12.00,91.00%,2.00
Darwin,Australia,8.00,3.00,33.00,4.00,10.00,2.00,12.00,2.00,11.00,1.00,3.00,4.00,15.00,7.00,15.57,11.00,52.00%,33.00
Doha,Qatar,14.38,22.00,38.00,2.00,10.00,2.00,12.00,2.00,10.00,2.00,0.00,1.00,0.00,1.00,62.50,95.00,81.00%,10.00
Dubai,United Emirates,12.00,12.00,39.00,1.00,10.00,2.00,12.00,2.00,11.00,1.00,0.00,1.00,0.00,1.00,50.64,79.00,82.00%,9.00
Dublin,Ireland,21.50,78.00,17.00,20.00,4.00,8.00,13.00,1.00,4.00,8.00,15.00,16.00,64.00,31.00,33.61,53.00,50.00%,35.00
Dubrovnik,Croatia,13.00,16.00,24.00,13.00,8.00,4.00,12.00,2.00,6.00,6.00,8.00,9.00,93.00,49.00,11.36,4.00,69.00%,17.00
Edinburgh,United Kingdom,20.00,64.00,16.00,21.00,4.00,8.00,13.00,1.00,3.00,9.00,17.00,18.00,71.00,36.00,22.56,27.00,45.00%,40.00
Geneva ,Switzerland,20.25,65.00,20.00,17.00,6.00,6.00,13.00,1.00,5.00,7.00,12.00,13.00,90.00,46.00,26.52,41.00,55.00%,31.00
Gold Coast,Australia,9.00,4.00,23.00,14.00,9.00,3.00,12.00,2.00,7.00,5.00,7.00,8.00,45.00,22.00,16.67,13.00,86.00%,5.00
Gothenburg,Sweden,18.00,49.00,16.00,21.00,5.00,7.00,13.00,1.00,3.00,9.00,13.00,14.00,83.00,44.00,16.67,13.00,50.00%,35.00
Guadalajara,Mexico,30.38,130.00,27.00,10.00,6.00,6.00,12.00,2.00,11.00,1.00,16.00,17.00,155.00,66.00,54.11,84.00,14.00%,57.00
Hamburg,Germany,19.38,60.00,18.00,19.00,5.00,7.00,13.00,1.00,4.00,8.00,15.00,16.00,65.00,32.00,25.66,36.00,49.00%,36.00
Hanoi,Vietnam,35.13,137.00,31.00,6.00,6.00,6.00,12.00,2.00,11.00,1.00,14.00,15.00,225.00,78.00,84.93,123.00,28.00%,50.00
Havana,Cuba,27.50,115.00,31.00,6.00,10.00,2.00,12.00,2.00,11.00,1.00,13.00,14.00,174.00,69.00,50.00,78.00,31.00%,48.00
Helsinki,Finland,17.00,42.00,14.00,23.00,4.00,8.00,13.00,1.00,3.00,9.00,17.00,18.00,73.00,38.00,9.73,2.00,48.00%,37.00
Hong Kong,China,33.00,134.00,30.00,7.00,6.00,6.00,12.00,2.00,11.00,1.00,14.00,15.00,253.00,83.00,66.98,105.00,35.00%,45.00
Honolulu,USA,10.50,8.00,30.00,7.00,9.00,3.00,12.00,2.00,11.00,1.00,8.00,9.00,18.00,9.00,25.00,35.00,68.00%,18.00
Hvar,Croatia,13.38,17.00,25.00,12.00,8.00,4.00,12.00,2.00,5.00,7.00,9.00,10.00,67.00,34.00,20.37,20.00,68.00%,18.00
Ibiza ,Spain,15.88,31.00,27.00,10.00,8.00,4.00,12.00,2.00,6.00,6.00,6.00,7.00,45.00,22.00,34.09,55.00,65.00%,21.00
Jakarta,Indonesia,29.25,126.00,33.00,4.00,9.00,3.00,12.00,2.00,11.00,1.00,8.00,9.00,93.00,49.00,78.62,117.00,30.00%,49.00
Kingston,Jamaica,32.25,133.00,32.00,5.00,6.00,6.00,12.00,2.00,11.00,1.00,14.00,15.00,188.00,75.00,64.77,102.00,23.00%,52.00
Krakow,Poland,28.63,124.00,19.00,18.00,5.00,7.00,13.00,1.00,4.00,8.00,12.00,13.00,54.00,25.00,85.19,124.00,52.00%,33.00
Kyoto,Japan,25.63,101.00,26.00,11.00,4.00,8.00,12.00,2.00,8.00,4.00,18.00,19.00,181.00,71.00,34.38,56.00,51.00%,34.00
Lagos,Portugal,19.13,57.00,29.00,8.00,4.00,8.00,12.00,2.00,11.00,1.00,13.00,14.00,183.00,73.00,23.53,31.00,70.00%,16.00
Lake Como,Italy,21.13,75.00,23.00,14.00,7.00,5.00,13.00,1.00,5.00,7.00,9.00,10.00,72.00,37.00,45.45,71.00,62.00%,24.00
Las Vegas ,USA,11.88,11.00,35.00,3.00,11.00,1.00,12.00,2.00,8.00,4.00,2.00,3.00,9.00,4.00,47.36,74.00,87.00%,4.00
Lisbon,Portugal,14.88,26.00,27.00,10.00,8.00,4.00,12.00,2.00,6.00,6.00,6.00,7.00,26.00,12.00,36.00,62.00,70.00%,16.00
Ljubljana,Slovenia,21.88,80.00,21.00,16.00,6.00,6.00,13.00,1.00,5.00,7.00,12.00,13.00,127.00,60.00,28.50,43.00,57.00%,29.00
London,United Kingdom,25.63,102.00,19.00,18.00,5.00,7.00,13.00,1.00,4.00,8.00,11.00,12.00,55.00,26.00,63.02,98.00,50.00%,35.00
Los Angeles,USA,17.00,40.00,28.00,9.00,9.00,3.00,12.00,2.00,8.00,4.00,2.00,3.00,9.00,4.00,64.35,100.00,80.00%,11.00
Madrid,Spain,16.88,38.00,27.00,10.00,8.00,4.00,12.00,2.00,6.00,6.00,7.00,8.00,27.00,13.00,46.16,72.00,66.00%,20.00
Malaga,Spain,11.25,10.00,27.00,10.00,8.00,4.00,12.00,2.00,7.00,5.00,4.00,5.00,18.00,9.00,25.74,37.00,68.00%,18.00
Malé,Maldives,32.13,132.00,30.00,7.00,7.00,5.00,12.00,2.00,11.00,1.00,15.00,16.00,213.00,76.00,62.93,96.00,20.00%,54.00
Manila,Philippines,38.13,140.00,31.00,6.00,5.00,7.00,12.00,2.00,11.00,1.00,20.00,21.00,343.00,86.00,82.45,121.00,9.00%,61.00
Marrakech,Morocco,19.00,56.00,32.00,5.00,9.00,3.00,12.00,2.00,9.00,3.00,2.00,3.00,6.00,2.00,80.16,119.00,72.00%,15.00
Melbourne,Australia,15.50,28.00,16.00,21.00,6.00,6.00,12.00,2.00,5.00,7.00,10.00,11.00,54.00,25.00,22.78,29.00,63.00%,23.00
Mexico City,Mexico,34.50,136.00,23.00,14.00,4.00,8.00,12.00,2.00,11.00,1.00,16.00,17.00,109.00,56.00,81.25,120.00,12.00%,58.00
Miami,USA,24.00,97.00,31.00,6.00,9.00,3.00,12.00,2.00,10.00,2.00,17.00,18.00,178.00,70.00,29.27,45.00,34.00%,46.00
Milan,Italy,27.63,116.00,24.00,13.00,6.00,6.00,13.00,1.00,5.00,7.00,9.00,10.00,83.00,44.00,77.20,116.00,62.00%,24.00
Monaco,Monaco,23.88,96.00,22.00,15.00,7.00,5.00,12.00,2.00,5.00,7.00,7.00,8.00,65.00,32.00,64.39,101.00,65.00%,21.00
Montego Bay,Jamaica,27.75,117.00,31.00,6.00,7.00,5.00,12.00,2.00,11.00,1.00,14.00,15.00,127.00,60.00,51.67,81.00,23.00%,52.00
Montreal,Canada,20.75,71.00,20.00,17.00,6.00,6.00,12.00,2.00,5.00,7.00,11.00,12.00,94.00,50.00,30.43,46.00,60.00%,26.00
Munich,Germany,18.88,55.00,19.00,18.00,6.00,6.00,13.00,1.00,4.00,8.00,12.00,13.00,72.00,37.00,24.38,33.00,50.00%,35.00
Mykonos,Greece,14.88,24.00,24.00,13.00,11.00,1.00,12.00,2.00,7.00,5.00,2.00,3.00,14.00,6.00,54.33,85.00,87.00%,4.00
Nadi,Fiji,25.38,100.00,27.00,10.00,5.00,7.00,12.00,2.00,11.00,1.00,17.00,18.00,123.00,59.00,50.00,78.00,58.00%,28.00
Nairobi,Kenya,23.00,85.00,24.00,13.00,6.00,6.00,12.00,2.00,11.00,1.00,5.00,6.00,29.00,14.00,68.99,109.00,52.00%,33.00
Naples,Italy,25.00,99.00,26.00,11.00,8.00,4.00,12.00,2.00,6.00,6.00,9.00,10.00,74.00,39.00,71.64,111.00,69.00%,17.00
Nassau,Bahamas,28.25,122.00,31.00,6.00,7.00,5.00,12.00,2.00,10.00,2.00,23.00,23.00,178.00,70.00,47.12,73.00,35.00%,45.00
New Orleans,USA,22.50,83.00,30.00,7.00,8.00,4.00,12.00,2.00,9.00,3.00,10.00,11.00,147.00,64.00,35.33,60.00,57.00%,29.00
New York,USA,23.63,94.00,24.00,13.00,7.00,5.00,12.00,2.00,6.00,6.00,8.00,9.00,92.00,48.00,53.22,83.00,63.00%,23.00
Nice,France,20.75,69.00,23.00,14.00,8.00,4.00,12.00,2.00,5.00,7.00,7.00,8.00,65.00,32.00,50.00,78.00,65.00%,21.00
Oslo,Norway,23.25,89.00,14.00,23.00,3.00,9.00,13.00,1.00,1.00,10.00,21.00,22.00,94.00,50.00,22.83,30.00,44.00%,41.00
Palma de Mallorca,Spain,14.00,21.00,26.00,11.00,8.00,4.00,12.00,2.00,6.00,6.00,7.00,8.00,59.00,28.00,23.81,32.00,65.00%,21.00
Panama City,Panama,28.38,123.00,29.00,8.00,5.00,7.00,12.00,2.00,11.00,1.00,17.00,18.00,265.00,84.00,48.97,76.00,55.00%,31.00
Paris,France,25.88,104.00,20.00,17.00,6.00,6.00,13.00,1.00,4.00,8.00,12.00,13.00,57.00,27.00,65.77,103.00,54.00%,32.00
Perth,Australia,13.50,18.00,20.00,17.00,8.00,4.00,12.00,2.00,6.00,6.00,10.00,11.00,71.00,36.00,21.43,22.00,81.00%,10.00
Petra,Jordan,15.63,30.00,31.00,6.00,11.00,1.00,12.00,2.00,10.00,2.00,0.00,1.00,0.00,1.00,67.22,106.00,85.00%,6.00
Phuket,Thailand,29.50,127.00,30.00,7.00,5.00,7.00,12.00,2.00,11.00,1.00,23.00,23.00,398.00,88.00,31.03,48.00,10.00%,60.00
Porto,Portugal,13.75,19.00,24.00,13.00,8.00,4.00,12.00,2.00,6.00,6.00,8.00,9.00,62.00,30.00,22.31,24.00,64.00%,22.00
Prague,Czech Republic,19.50,61.00,20.00,17.00,5.00,7.00,13.00,1.00,4.00,8.00,11.00,12.00,43.00,20.00,35.00,58.00,52.00%,33.00
Punta Cana,Dominican Republic,28.00,119.00,32.00,5.00,8.00,4.00,12.00,2.00,11.00,1.00,15.00,16.00,109.00,56.00,60.00,91.00,30.00%,49.00
Queenstown,New Zealand,18.75,54.00,11.00,25.00,5.00,7.00,12.00,2.00,3.00,9.00,11.00,12.00,103.00,54.00,10.00,3.00,47.00%,38.00
Rio de Janeiro,Brazil,23.50,91.00,25.00,12.00,5.00,7.00,12.00,2.00,10.00,2.00,11.00,12.00,96.00,51.00,53.11,82.00,66.00%,20.00
Rome,Italy,20.88,72.00,27.00,10.00,8.00,4.00,12.00,2.00,6.00,6.00,9.00,10.00,75.00,40.00,49.81,77.00,68.00%,18.00
Rotterdam,Netherlands,20.63,68.00,18.00,19.00,4.00,8.00,13.00,1.00,4.00,8.00,15.00,16.00,75.00,40.00,25.76,38.00,50.00%,35.00
Salzburg,Austria,18.75,53.00,19.00,18.00,6.00,6.00,13.00,1.00,5.00,7.00,13.00,14.00,99.00,52.00,18.06,15.00,48.00%,37.00
San Francisco,USA,12.63,14.00,22.00,15.00,9.00,3.00,12.00,2.00,7.00,5.00,2.00,3.00,7.00,3.00,40.97,66.00,87.00%,4.00
San Juan,Puerto Rico,27.25,114.00,30.00,7.00,8.00,4.00,12.00,2.00,11.00,1.00,18.00,19.00,188.00,75.00,36.76,63.00,32.00%,47.00
Santorini,Greece,12.50,13.00,25.00,12.00,10.00,2.00,12.00,2.00,7.00,5.00,1.00,2.00,13.00,5.00,44.88,69.00,89.00%,3.00
Sarajevo,Bosnia and Herzegovina,27.88,118.00,20.00,17.00,6.00,6.00,12.00,2.00,5.00,7.00,10.00,11.00,76.00,41.00,73.83,113.00,60.00%,26.00
Seattle,USA,17.00,41.00,21.00,16.00,7.00,5.00,13.00,1.00,5.00,7.00,9.00,10.00,49.00,23.00,31.53,49.00,61.00%,25.00
Seoul,South Korea,26.75,108.00,25.00,12.00,7.00,5.00,12.00,2.00,7.00,5.00,9.00,10.00,161.00,67.00,56.78,87.00,60.00%,26.00
Seville,Spain,13.88,20.00,32.00,5.00,9.00,3.00,12.00,2.00,7.00,5.00,4.00,5.00,21.00,10.00,41.41,67.00,74.00%,14.00
Shanghai,China,28.88,125.00,27.00,10.00,6.00,6.00,12.00,2.00,9.00,3.00,13.00,14.00,152.00,65.00,66.83,104.00,59.00%,27.00
Siem Reap,Cambodia,33.00,135.00,31.00,6.00,5.00,7.00,12.00,2.00,11.00,1.00,18.00,19.00,250.00,82.00,57.50,88.00,11.00%,59.00
Singapore,Malaysia,26.00,105.00,30.00,7.00,5.00,7.00,12.00,2.00,11.00,1.00,15.00,16.00,172.00,68.00,33.31,51.00,15.00%,56.00
Sofia,Bulgaria,22.75,84.00,23.00,14.00,7.00,5.00,12.00,2.00,6.00,6.00,5.00,6.00,41.00,18.00,76.59,115.00,70.00%,16.00
Sorrento,Italy,23.50,90.00,25.00,12.00,8.00,4.00,12.00,2.00,6.00,6.00,8.00,9.00,57.00,27.00,71.64,111.00,69.00%,17.00
Split,Croatia,14.50,23.00,25.00,12.00,8.00,4.00,12.00,2.00,5.00,7.00,10.00,11.00,75.00,40.00,20.37,20.00,66.00%,20.00
St Barts,Saint Barthélemy,23.50,93.00,31.00,6.00,8.00,4.00,12.00,2.00,11.00,1.00,19.00,20.00,129.00,61.00,32.14,50.00,36.00%,44.00
St Lucia,Saint Lucia,26.50,107.00,30.00,7.00,8.00,4.00,12.00,2.00,11.00,1.00,25.00,24.00,224.00,77.00,32.14,50.00,32.00%,47.00
Stockholm,Sweden,15.50,29.00,15.00,22.00,4.00,8.00,13.00,1.00,3.00,9.00,14.00,15.00,52.00,24.00,15.10,9.00,49.00%,36.00
Sunshine Coast,Australia,9.88,5.00,24.00,13.00,9.00,3.00,12.00,2.00,8.00,4.00,6.00,7.00,49.00,23.00,22.12,23.00,87.00%,4.00
Sydney,Australia,14.88,25.00,20.00,17.00,7.00,5.00,12.00,2.00,5.00,7.00,10.00,11.00,62.00,30.00,24.53,34.00,76.00%,13.00
Taipei,Taiwan,28.13,121.00,30.00,7.00,6.00,6.00,12.00,2.00,10.00,2.00,16.00,17.00,184.00,74.00,47.57,75.00,42.00%,42.00
Tallinn,Estonia,17.75,46.00,14.00,23.00,5.00,7.00,13.00,1.00,3.00,9.00,17.00,18.00,80.00,42.00,14.54,7.00,50.00%,35.00
Tokyo,Japan,27.13,112.00,27.00,10.00,4.00,8.00,12.00,2.00,8.00,4.00,19.00,20.00,181.00,71.00,38.47,65.00,48.00%,37.00
Toronto,Canada,19.88,62.00,21.00,16.00,6.00,6.00,12.00,2.00,5.00,7.00,10.00,11.00,75.00,40.00,33.74,54.00,63.00%,23.00
Tromsø,Norway,21.25,76.00,9.00,26.00,3.00,9.00,13.00,1.00,1.00,10.00,21.00,22.00,94.00,50.00,14.06,6.00,34.00%,46.00
Tulum,Mexico,23.00,86.00,32.00,5.00,6.00,6.00,12.00,2.00,11.00,1.00,15.00,16.00,226.00,79.00,21.43,22.00,22.00%,53.00
Turin,Italy,27.25,113.00,23.00,14.00,6.00,6.00,12.00,2.00,5.00,7.00,10.00,11.00,69.00,35.00,79.57,118.00,61.00%,25.00
Ubud,Indonesia,26.75,109.00,30.00,7.00,10.00,2.00,12.00,2.00,11.00,1.00,1.00,2.00,116.00,58.00,63.54,99.00,40.00%,43.00
Valletta ,Malta,20.00,63.00,28.00,9.00,9.00,3.00,12.00,2.00,7.00,5.00,4.00,5.00,36.00,16.00,68.06,108.00,77.00%,12.00
Vancouver,Canada,16.75,37.00,19.00,18.00,6.00,6.00,13.00,1.00,4.00,8.00,10.00,11.00,80.00,42.00,19.82,18.00,56.00%,30.00
Venice,Italy,23.63,95.00,24.00,13.00,7.00,5.00,13.00,1.00,5.00,7.00,9.00,10.00,71.00,36.00,60.19,92.00,61.00%,25.00
Victoria,Seychelles,23.13,87.00,28.00,9.00,8.00,4.00,12.00,2.00,11.00,1.00,15.00,16.00,134.00,62.00,33.33,52.00,46.00%,39.00
Vienna,Austria,12.88,15.00,21.00,16.00,6.00,6.00,13.00,1.00,4.00,8.00,11.00,12.00,42.00,19.00,15.50,10.00,55.00%,31.00
Villefranche-sur-Mer,France,20.75,70.00,23.00,14.00,8.00,4.00,12.00,2.00,5.00,7.00,7.00,8.00,65.00,32.00,50.00,78.00,65.00%,21.00
Warsaw,Poland,26.88,110.00,18.00,19.00,5.00,7.00,13.00,1.00,4.00,8.00,12.00,13.00,45.00,22.00,69.80,110.00,50.00%,35.00
Wellington,New Zealand,17.88,47.00,13.00,24.00,5.00,7.00,12.00,2.00,4.00,8.00,15.00,16.00,104.00,55.00,13.92,5.00,60.00%,26.00
Zagreb,Croatia,22.13,81.00,22.00,15.00,6.00,6.00,13.00,1.00,5.00,7.00,12.00,13.00,96.00,51.00,34.43,57.00,59.00%,27.00
Zanzibar,Tanzania,7.88,2.00,30.00,7.00,8.00,4.00,12.00,2.00,11.00,1.00,8.00,9.00,52.00,24.00,8.33,1.00,72.00%,15.00
Zurich,Switzerland,19.25,59.00,19.00,18.00,5.00,7.00,13.00,1.00,5.00,7.00,13.00,14.00,91.00,47.00,22.45,26.00,51.00%,34.00
